r,l,t
6873.682678,30,2155.564034
7645.991371,30,2155.690924
5671.56497,30,2155.823859
6869.12291,30,2155.947402
7454.874713,30,2156.071313
692.229871,30,2156.195597
6482.408642,30,2156.319805
8176.780076,30,2156.444062
7642.560452,30,2156.566696
7540.506256,30,2156.688938
7571.877925,30,2156.815628
5988.899591,30,2156.939196
5772.005531,30,2157.062176
6599.247757,30,2157.185935
7678.477101,30,2157.309437
7701.879766,30,2157.434518
7375.734176,30,2157.555571
6431.222879,30,2157.677221
7806.098353,30,2157.807774
7651.707047,30,2157.930843
6890.214043,30,2158.055541
7109.423131,30,2158.176539
8045.820532,30,2158.297012
7014.931977,30,2158.417057
5632.233909,30,2158.539738
8041.282481,30,2158.662479
7915.12615,30,2158.79115
7595.796458,30,2158.911796
7216.411591,30,2159.033546
5592.516041,30,2159.156157
4735.143812,30,2159.281405
7740.747726,30,2159.402554
3247.424883,30,2159.524693
6932.688044,30,2159.644029
5591.80669,30,2159.767936
7050.113263,30,2159.901345
7058.375192,30,2160.024665
8036.169704,30,2160.148133
5291.514704,30,2160.27913
6978.529806,30,2160.403921
6640.465912,30,2160.52596
7620.302156,30,2160.650003
6578.420558,30,2160.777334
7277.524624,30,2160.899118
5830.560232,30,2161.021428
6278.924799,30,2161.142834
6198.265475,30,2161.263846
7097.994881,30,2161.386269
6397.741086,30,2161.510231
2852.411408,30,2161.632436
8019.094279,30,2161.758178
8322.051063,30,2161.882904
7199.270961,30,2162.014496
7784.061913,30,2162.13868
6971.451432,30,2162.262509
5820.511862,30,2162.386424
7169.43609,30,2162.509665
7851.964504,30,2162.631904
6557.730205,30,2162.755696
3490.0483,30,2162.882551
6136.87077,30,2163.005333
5913.377218,30,2163.129094
5312.639896,30,2163.252128
1803.070447,30,2163.372533
6400.867573,30,2163.49583
7776.652449,30,2163.617749
6731.740289,30,2163.740063
5609.07091,30,2163.867393
7804.600178,30,2163.990667
6226.647387,30,2164.120989
6797.351722,30,2164.243428
5652.388098,30,2164.367544
5225.063126,30,2164.493211
6870.847561,30,2164.615791
6961.814215,30,2164.736372
6201.713539,30,2164.864432
5923.028367,30,2164.986808
5892.234582,30,2165.10974
5174.862948,30,2165.232338
5746.609348,30,2165.355977
2733.437205,30,2165.479034
4901.936289,30,2165.602992
4253.494911,30,2165.726057
6515.633564,30,2165.854036
6361.697916,30,2165.97715
4931.230678,30,2166.10853
5675.669354,30,2166.233056
5621.221606,30,2166.354422
3586.619476,30,2166.475342
4695.745767,30,2166.596318
6406.476295,30,2166.717159
5357.473057,30,2166.842122
5816.927158,30,2166.961933
5480.280018,30,2167.083802
4307.728389,30,2167.204402
4388.491434,30,2167.32507
4719.658068,30,2167.44473
6018.414288,30,2167.566699
7338.373769,30,2167.688872
7187.270347,30,2167.817031
