r,l,t
-86439.941532,500,294.017768
-96776.817001,500,295.201062
-76832.329134,500,296.481991
-92021.959468,500,297.759098
-63597.744729,500,299.099412
-77965.661886,500,300.374372
-107487.014133,500,301.657397
-41189.046963,500,303.033156
-33571.875221,500,304.285604
-67222.165568,500,305.493984
-67130.296289,500,306.805965
-47056.356736,500,308.155134
-34211.832946,500,309.585679
-109879.428857,500,311.089828
-48292.944046,500,313.064359
-98464.104967,500,314.898123
-31124.683746,500,316.283364
-56118.160068,500,317.70171
-41901.976052,500,319.089914
-51958.919537,500,320.488571
-25849.40975,500,321.870092
-37640.170257,500,323.301909
-75323.485935,500,324.746302
-24723.044786,500,326.146954
-65678.53924,500,327.402497
-39285.00107,500,328.648678
-70120.188605,500,329.912544
-100563.45849,500,331.250599
-15187.598158,500,332.661682
-51620.748559,500,334.076728
-53242.697561,500,335.523874
-36795.311121,500,336.954631
-23085.471816,500,338.219041
-72570.60364,500,339.636867
-107106.996431,500,340.96397
-116661.155248,500,342.216499
-125711.085603,500,343.458763
-77481.23025,500,344.817404
-76587.748847,500,346.150411
-112703.502045,500,347.532918
-67531.385044,500,348.998521
-218068.127381,500,350.416179
-41613.869138,500,351.820867
-83934.329073,500,353.213591
-72103.023042,500,354.632359
-60432.630976,500,356.066453
-49577.987481,500,357.425467
-88227.091784,500,358.824646
-21526.265302,500,360.2161
-138637.906387,500,361.592721
-80573.358816,500,362.976875
-70110.796379,500,364.319309
-97640.741069,500,365.52757
-27113.684002,500,366.735887
-21421.313683,500,367.956556
-130752.359051,500,369.166008
-118758.333888,500,370.379053
-28606.478894,500,371.713225
-18402.391417,500,373.065768
-8975.723639,500,374.461018
-1406.597508,500,375.838333
-17070.750842,500,377.081599
-63203.435702,500,378.424604
-75118.091216,500,379.816089
-100837.520083,500,381.232603
-17996.505157,500,382.538672
-33004.469874,500,383.753366
-35283.968978,500,384.968571
-21588.814822,500,386.181941
-28194.975967,500,387.389509
-126943.659229,500,388.704867
-72749.341127,500,390.140831
-140802.442446,500,391.570498
-10859.141212,500,392.898441
-72829.139106,500,394.139627
-75303.445177,500,395.411059
-193280.203235,500,396.799961
-98631.243554,500,398.186623
-100182.215537,500,399.560414
-46467.041548,500,400.989897
-15397.411044,500,402.418947
-75595.526551,500,403.842562
-74064.451115,500,405.27408
-26729.060426,500,406.695915
-165635.862036,500,408.121419
-78160.474281,500,409.541206
-98362.416357,500,410.965786
-73126.062227,500,412.35983
-78976.359927,500,413.76486
-5962.263536,500,415.177276
-21920.425935,500,416.545757
-107224.779716,500,417.909168
-121054.447444,500,419.224172
-30866.87557,500,420.61751
-49059.312732,500,422.02531
-21833.317573,500,423.418763
-29125.046949,500,424.791251
-64385.293772,500,426.215318
-10796.975523,500,427.628934
-35910.382578,500,429.075783
