r,l,t
7898.789701,30,1498.977244
7968.716979,30,1499.088746
8743.689781,30,1499.201456
8851.393658,30,1499.313327
8372.580084,30,1499.435789
9093.688241,30,1499.553985
9039.422029,30,1499.67554
6019.75766,30,1499.799399
7337.726793,30,1499.907324
8470.21621,30,1500.038802
7268.792259,30,1500.166588
7461.344172,30,1500.289749
7928.708454,30,1500.413253
7979.005392,30,1500.554888
8856.358064,30,1500.676261
7693.454842,30,1500.790017
8574.624342,30,1500.906057
7832.714165,30,1501.041002
8695.062511,30,1501.174406
7291.702965,30,1501.305268
8118.786268,30,1501.435282
8905.673041,30,1501.559457
4957.396565,30,1501.700922
8363.162863,30,1501.847829
8885.583933,30,1501.986573
9268.087914,30,1502.124581
8575.595709,30,1502.246559
8716.803598,30,1502.369709
8126.362666,30,1502.498904
8640.175291,30,1502.627437
8718.930517,30,1502.757185
7396.160721,30,1502.889446
8526.229355,30,1503.019946
6337.039148,30,1503.152037
7779.103335,30,1503.274492
7852.99378,30,1503.393424
8717.890509,30,1503.526098
8701.825068,30,1503.654198
8890.758711,30,1503.78536
8926.722533,30,1503.901258
8862.716914,30,1504.026289
8992.869668,30,1504.17255
8771.151068,30,1504.301121
8631.834045,30,1504.438961
8397.884689,30,1504.561317
8759.342995,30,1504.688514
8313.879719,30,1504.824999
8738.819031,30,1504.959286
8648.67293,30,1505.077222
7831.917856,30,1505.202292
8524.890579,30,1505.31756
7786.936905,30,1505.443833
8779.232006,30,1505.560242
8338.179119,30,1505.675518
8020.894724,30,1505.790328
8299.52456,30,1505.929161
8274.907718,30,1506.060533
8627.732643,30,1506.195265
7449.70314,30,1506.329625
9116.062771,30,1506.469501
7047.00121,30,1506.608303
6488.039032,30,1506.729233
8652.044189,30,1506.848683
6179.449461,30,1506.965093
8785.298047,30,1507.080092
9085.009416,30,1507.19439
8751.231592,30,1507.310518
8853.589848,30,1507.454862
9190.516102,30,1507.584107
9324.894035,30,1507.70415
8913.894794,30,1507.82612
8769.773129,30,1507.948849
8400.226805,30,1508.072737
7960.234154,30,1508.194654
8401.744703,30,1508.330833
9316.623759,30,1508.469312
6611.123853,30,1508.592677
8003.662128,30,1508.712945
8468.488955,30,1508.83871
8806.502011,30,1508.971431
6764.725281,30,1509.091893
8437.036592,30,1509.21079
8110.977386,30,1509.342644
5064.421291,30,1509.473438
9127.418953,30,1509.598244
8717.095287,30,1509.733471
8373.323408,30,1509.84546
9305.703737,30,1509.96178
8113.417859,30,1510.082695
8677.271124,30,1510.222569
8564.625309,30,1510.349743
7765.675319,30,1510.493005
8986.079521,30,1510.614416
8661.675903,30,1510.746041
9143.726906,30,1510.874332
7423.919063,30,1510.98627
8207.839246,30,1511.097866
7871.762559,30,1511.235223
8321.222147,30,1511.351498
9032.65819,30,1511.47751
