r,l,t
-80874.314197,500,149.789787
-109753.667311,500,151.008901
-83666.491772,500,152.115144
-67216.869451,500,153.245008
-67369.422932,500,154.393327
-54497.344073,500,155.676472
-48428.388624,500,157.051365
-34844.851641,500,158.427956
-12333.671094,500,159.985437
-35137.061574,500,161.33733
-9314.337849,500,162.699706
-45202.874564,500,164.106322
-10680.822757,500,165.464901
-30862.383815,500,166.854754
-3147.206628,500,168.203526
-36931.427638,500,169.597955
-52760.984368,500,171.037813
-24631.682957,500,172.427605
-16648.273109,500,173.70704
-18662.110326,500,175.059692
-5958.572707,500,176.456709
-2468.887213,500,177.810153
-53468.432924,500,179.22444
-76197.965413,500,180.628422
-56071.697858,500,181.951965
-54125.965129,500,183.399169
-35182.245466,500,184.839149
-18579.817462,500,186.243185
-41812.376639,500,187.644542
-24081.136479,500,189.037847
-193097.52787,500,190.437594
-91459.356825,500,191.824385
-67557.045409,500,193.276056
-27441.158548,500,194.66323
-109406.935622,500,196.076453
-81513.84564,500,197.478405
-120145.994511,500,198.83557
-68574.263865,500,200.281743
-16376.164529,500,201.6774
-142055.55962,500,203.06021
-37795.836988,500,204.479368
-25263.970848,500,205.866793
-13859.454666,500,207.250734
-37623.528382,500,208.620155
4701.562963,500,209.911396
-8093.763605,500,211.160771
-74577.750927,500,212.392969
-37209.692246,500,213.768995
-69998.112995,500,215.156473
-35486.044952,500,216.519479
-30846.344161,500,217.91272
-16641.652722,500,219.267335
-5773.820917,500,220.68491
-21118.103019,500,222.073203
-12728.810635,500,223.380872
-29809.596379,500,224.804567
-85488.489926,500,226.153746
-63726.394665,500,227.468115
-82599.253157,500,228.730216
-113437.767458,500,230.01875
-10179.901817,500,231.442254
-13975.616864,500,232.881436
-29961.165539,500,234.257534
-192444.855559,500,235.658123
-13200.07845,500,237.059385
-22625.060527,500,238.414013
-13063.708139,500,239.728955
-36806.045166,500,241.134618
-14915.579059,500,242.51912
-25027.95055,500,243.920839
-30819.14321,500,245.275889
-41722.650652,500,246.660602
-10075.621921,500,248.026535
-39215.181734,500,249.391133
-95996.057845,500,250.774447
3542.203164,500,252.159263
-27696.522001,500,253.574789
-95986.951036,500,254.932965
-42155.131234,500,256.408359
-53455.883088,500,257.838504
-25761.025601,500,259.244629
-155696.75361,500,260.59451
-68430.117637,500,262.013198
-87485.167979,500,263.445693
-84771.16899,500,264.831511
-51147.258334,500,266.253537
-63094.279813,500,267.6663
-6950.820294,500,269.031969
-19818.379864,500,270.313184
-59519.555907,500,271.391315
-63340.053206,500,272.584261
-9184.392918,500,273.82736
-40530.03794,500,275.191203
-30697.792779,500,276.552761
-15613.25437,500,278.007859
-16755.110642,500,279.402815
-24595.253898,500,280.754266
-59359.975763,500,282.038383
-51888.661937,500,283.423933
-39929.056323,500,284.797543
