r,l,t
-1510.879026,30,495.414053
-1309.877378,30,495.499065
-6944.381702,30,495.589438
-225.0,30,495.666227
-4886.198457,30,495.74834
-4375.159745,30,495.834628
-1915.94973,30,495.943363
-2141.781365,30,496.022205
-206.349612,30,496.104706
-4102.446018,30,496.182487
569.917074,30,496.264124
-676.22892,30,496.341319
142.0581,30,496.42183
-94.314489,30,496.493305
-1018.717445,30,496.568431
-138.4377,30,496.641788
279.579217,30,496.718575
139.00993,30,496.790849
1.306614,30,496.865726
3466.096924,30,496.937726
-2980.861366,30,497.01291
3578.161331,30,497.096444
4076.165396,30,497.19084
-5490.310672,30,497.281784
1838.683483,30,497.377627
2757.50334,30,497.468266
3661.451116,30,497.556033
-1050.666797,30,497.652122
2499.850004,30,497.752644
284.848732,30,497.856961
1484.972477,30,497.958649
-129.775579,30,498.063153
-3784.900098,30,498.154464
-57.413506,30,498.237823
-225.0,30,498.324818
-225.0,30,498.405741
14.643756,30,498.499819
2281.85252,30,498.585184
-7818.805217,30,498.676553
-4974.895252,30,498.780196
1992.329295,30,498.875652
-8.046751,30,498.958213
-3564.740401,30,499.050581
-1957.655506,30,499.137064
3143.938651,30,499.226244
-811.766639,30,499.307063
-6349.201958,30,499.396595
-96.819052,30,499.478106
4923.938675,30,499.563984
3906.257332,30,499.649683
96.99872,30,499.744103
5.376786,30,499.825981
2999.043957,30,499.912064
76.76549,30,499.996283
2703.734616,30,500.089298
2800.562356,30,500.17668
-14190.298801,30,500.264162
-6485.962531,30,500.351277
726.799526,30,500.439173
11.827537,30,500.519847
-17868.826248,30,500.615664
-11086.414507,30,500.716624
-7715.976525,30,500.814971
-9972.82837,30,500.903574
-10164.88938,30,500.999228
-152.148738,30,501.097015
519.886598,30,501.180929
355.200861,30,501.264389
-355.477274,30,501.354389
-407.759579,30,501.443449
-2977.442794,30,501.54145
70.22501,30,501.616937
-279.365921,30,501.801821
531.383416,30,501.88781
-453.603492,30,501.983882
533.487846,30,502.065418
-65.385168,30,502.173344
1687.569596,30,502.260233
1334.656499,30,502.354069
339.010551,30,502.450003
-4299.715063,30,502.530138
-860.590639,30,502.613059
-368.8033,30,502.69815
-322.699219,30,502.777373
-3527.875748,30,502.882876
2384.145619,30,502.985848
3574.426727,30,503.068238
529.385781,30,503.146276
293.551951,30,503.223071
166.351532,30,503.29548
-3648.470443,30,503.382164
5066.338499,30,503.457702
-15348.228035,30,503.534292
-322.892148,30,503.609371
2111.503424,30,503.685472
-36.0,30,503.757921
487.868726,30,503.833766
902.590375,30,503.909068
3632.028038,30,504.004224
-1005.959225,30,504.102326
