r,l,t
7849.316519,50,548.907699
5740.119936,50,549.009237
5420.315517,50,549.10338
9271.216473,50,549.191758
7727.518127,50,549.292159
1743.529686,50,549.401316
5184.913422,50,549.506138
7219.816371,50,549.608101
3308.421763,50,549.71383
7622.543456,50,549.818702
6194.628981,50,549.914615
7404.59308,50,550.011376
5401.315946,50,550.103902
6867.072871,50,550.217584
4525.332333,50,550.306373
5110.355961,50,550.408394
6230.333749,50,550.510198
6340.19339,50,550.614256
7141.021336,50,551.402163
8265.231416,50,551.507453
8606.108252,50,551.603805
5988.643709,50,551.690816
5814.446457,50,551.792863
7847.121479,50,551.890646
6089.941126,50,551.983891
7468.295749,50,552.077356
8433.821698,50,552.178006
7490.509579,50,552.277593
7564.918986,50,552.373898
6973.884136,50,552.48473
4618.665993,50,552.578558
1882.855539,50,552.684326
5569.240257,50,552.777665
8134.80144,50,552.868059
4882.174274,50,552.967514
2829.15512,50,553.072556
5906.861344,50,553.184675
5976.18565,50,553.280926
8379.181486,50,553.380556
5662.023533,50,554.16348
4804.292752,50,554.251413
7007.404049,50,554.362794
7849.115893,50,554.480505
4199.757608,50,554.588957
7672.25197,50,554.690212
7830.965327,50,554.781828
7808.11573,50,554.877724
7040.360779,50,554.971362
6457.694224,50,555.062029
683.429846,50,555.165267
-341.535413,50,555.269216
8826.823299,50,555.373833
7065.55801,50,555.477616
7028.513908,50,555.571591
3264.46606,50,555.653999
5893.073545,50,555.753758
3305.710592,50,555.87028
7333.4113,50,555.990928
9652.997693,50,556.112006
3654.025002,50,556.947386
7746.164403,50,557.038062
6559.003867,50,557.124485
8576.138279,50,557.235497
8304.853593,50,557.346604
6524.296955,50,557.448144
5708.881605,50,557.548312
4703.400488,50,557.634749
7455.872406,50,557.72244
6264.266138,50,557.805899
2648.194723,50,557.900951
6387.433015,50,558.014834
5848.611874,50,558.109706
3733.328243,50,558.197233
8468.57957,50,558.3047
7060.220792,50,558.401964
6251.659964,50,558.51026
9423.85485,50,558.608197
9163.829817,50,558.708615
7938.617927,50,558.811741
9240.756557,50,558.910007
4414.888173,50,559.699585
5819.888374,50,559.797805
7048.844214,50,559.89693
8503.670562,50,560.011682
7590.976581,50,560.103752
5151.602164,50,560.209589
3307.516812,50,560.31711
10691.546751,50,560.41208
6291.849043,50,560.512157
3235.226016,50,560.597049
7665.305558,50,560.702735
4635.770431,50,560.803044
7514.497702,50,560.891288
8819.481692,50,560.990941
6672.397024,50,561.079706
8905.184887,50,561.192962
7914.502905,50,561.293231
5183.75879,50,561.394784
6489.257828,50,561.49053
6790.868321,50,561.597783
