r,l,t
6121.584464,30,2921.186821
8601.7481,30,2921.236612
7013.543993,30,2921.283867
6718.426308,30,2921.333191
6090.359384,30,2921.386297
5774.469206,30,2921.432977
6661.24448,30,2921.480731
9187.300214,30,2921.5284
6921.019192,30,2921.575855
7717.308544,30,2921.622344
6600.898524,30,2921.672184
5682.682226,30,2921.722337
6540.866219,30,2921.769808
6249.436977,30,2921.815242
7002.054151,30,2921.864924
4352.221983,30,2921.91402
7045.042039,30,2921.969868
2685.274776,30,2922.019093
8537.244924,30,2922.068423
7509.327246,30,2922.115046
5185.405605,30,2922.163537
8285.919391,30,2922.209751
6399.9917,30,2922.267804
4527.501833,30,2922.325861
4315.256396,30,2922.381796
3594.565433,30,2922.431915
6543.014109,30,2922.482516
6115.707583,30,2922.53168
6833.853941,30,2922.580494
5430.208899,30,2922.632389
4509.845058,30,2922.685131
7514.965642,30,2922.733535
1600.571106,30,2923.439999
7077.812451,30,2923.490688
7138.350448,30,2923.545931
4887.116809,30,2923.595817
6392.787041,30,2923.644194
7456.004308,30,2923.69221
4372.656411,30,2923.740605
7188.855444,30,2923.790251
5583.395637,30,2923.836318
4094.891433,30,2923.884801
6137.194538,30,2923.93872
6436.485948,30,2923.985508
6414.763047,30,2924.03213
3982.997123,30,2924.097171
8339.125451,30,2924.145365
2108.082808,30,2924.191514
4914.842796,30,2924.239804
3483.180756,30,2924.28554
4622.420614,30,2924.331458
6388.473737,30,2924.388502
5279.403265,30,2924.442118
4070.340359,30,2924.493732
3281.580591,30,2924.545295
7015.133342,30,2924.596486
7882.724778,30,2924.645712
5504.376544,30,2924.695282
7789.09992,30,2924.745236
6343.587461,30,2924.799072
8618.223241,30,2924.852346
6344.519647,30,2924.909652
8119.361953,30,2924.964318
4479.047305,30,2925.01786
4772.026072,30,2925.072333
4437.929291,30,2925.132216
5941.403408,30,2925.817753
6270.018016,30,2925.874175
7450.663135,30,2925.928444
8503.172265,30,2925.983715
4501.105927,30,2926.037851
7132.019961,30,2926.090098
6814.543545,30,2926.143406
7336.380529,30,2926.19284
5483.154645,30,2926.239836
7202.797978,30,2926.286136
5867.164036,30,2926.332552
6030.127142,30,2926.3848
6873.752956,30,2926.431782
8165.34146,30,2926.478889
6532.34297,30,2926.530534
6072.483271,30,2926.577261
5239.02063,30,2926.6229
5996.465085,30,2926.667086
6243.894728,30,2926.714759
5578.995886,30,2926.76163
3717.870604,30,2926.809949
6839.351889,30,2926.856469
7867.023377,30,2926.903473
6740.564659,30,2926.961169
6454.614583,30,2927.020286
5506.443701,30,2927.070805
6520.353169,30,2927.119087
3180.080097,30,2927.168431
7707.176092,30,2927.22385
5591.706244,30,2927.269667
6498.764254,30,2927.315739
4722.969876,30,2927.373395
3837.457931,30,2927.426683
6085.002507,30,2927.47475
