episode,q_loss
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,29972.666015625
105,29972.666015625
106,29972.666015625
107,29972.666015625
108,29297.720703125
109,29297.720703125
110,29297.720703125
111,29297.720703125
112,26585.138671875
113,26585.138671875
114,26585.138671875
115,26585.138671875
116,30128.71484375
117,30128.71484375
118,30128.71484375
119,30128.71484375
120,28627.78515625
121,28627.78515625
122,28627.78515625
123,28627.78515625
124,30972.15625
125,30972.15625
126,30972.15625
127,30972.15625
128,32348.482421875
129,32348.482421875
130,32348.482421875
131,32348.482421875
132,31369.236328125
133,31369.236328125
134,31369.236328125
135,31369.236328125
136,26422.74609375
137,26422.74609375
138,26422.74609375
139,26422.74609375
140,28295.615234375
141,28295.615234375
142,28295.615234375
143,28295.615234375
144,27945.875
145,27945.875
146,27945.875
147,27945.875
148,28536.107421875
149,28536.107421875
150,28536.107421875
151,28536.107421875
152,29889.025390625
153,29889.025390625
154,29889.025390625
155,29889.025390625
156,26269.828125
157,26269.828125
158,26269.828125
159,26269.828125
160,28911.615234375
161,28911.615234375
162,28911.615234375
163,28911.615234375
164,29887.978515625
165,29887.978515625
166,29887.978515625
167,29887.978515625
168,27617.578125
169,27617.578125
170,27617.578125
171,27617.578125
172,30659.234375
173,30659.234375
174,30659.234375
175,30659.234375
176,27890.42578125
177,27890.42578125
178,27890.42578125
179,27890.42578125
180,29908.130859375
181,29908.130859375
182,29908.130859375
183,29908.130859375
184,25078.107421875
185,25078.107421875
186,25078.107421875
187,25078.107421875
188,27243.828125
189,27243.828125
190,27243.828125
191,27243.828125
192,27900.140625
193,27900.140625
194,27900.140625
195,27900.140625
196,30168.94921875
197,30168.94921875
198,30168.94921875
199,30168.94921875
200,29259.572265625
201,29259.572265625
202,29259.572265625
203,29259.572265625
204,28173.08984375
205,28173.08984375
206,28173.08984375
207,28173.08984375
208,26341.53125
209,26341.53125
210,26341.53125
211,26341.53125
212,27248.8984375
213,27248.8984375
214,27248.8984375
215,27248.8984375
216,28635.24609375
217,28635.24609375
218,28635.24609375
219,28635.24609375
220,29741.0078125
221,29741.0078125
222,29741.0078125
223,29741.0078125
224,26906.58984375
225,26906.58984375
226,26906.58984375
227,26906.58984375
228,27081.90234375
229,27081.90234375
230,27081.90234375
231,27081.90234375
