r,l,t
-1510.879026,30,486.177859
-1309.877378,30,486.2452
-6944.381702,30,486.315614
-225.0,30,486.380522
-4886.198457,30,486.450112
-4375.159745,30,486.517311
-1915.94973,30,486.586679
-2141.781365,30,486.652088
-206.349612,30,486.720882
-4102.446018,30,486.789365
569.917074,30,486.860804
-676.22892,30,486.928224
142.0581,30,486.998863
-94.314489,30,487.062528
-1018.717445,30,487.129351
-138.4377,30,487.196933
279.579217,30,487.264966
139.00993,30,487.326444
1.306614,30,487.39063
3466.096924,30,487.453115
-2980.861366,30,487.520078
3578.161331,30,487.588022
4076.165396,30,487.658377
-5490.310672,30,487.727005
1838.683483,30,487.798363
2757.50334,30,487.865925
3661.451116,30,487.934474
-1050.666797,30,487.999548
2499.850004,30,488.071186
284.848732,30,488.136607
1484.972477,30,488.203446
-129.775579,30,488.270321
-3784.900098,30,488.336764
-57.413506,30,488.400165
-225.0,30,488.468902
-225.0,30,488.530473
14.643756,30,488.594603
2281.85252,30,488.65604
-7818.805217,30,488.726129
-4974.895252,30,488.794282
1992.329295,30,488.866667
-8.046751,30,488.933221
-3564.740401,30,489.001076
-1957.655506,30,489.070663
3143.938651,30,489.141352
-811.766639,30,489.204813
-6349.201958,30,489.275349
-96.819052,30,489.339695
4923.938675,30,489.405071
3906.257332,30,489.468822
96.99872,30,489.533062
5.376786,30,489.596769
2999.043957,30,489.663031
76.76549,30,489.726289
2703.734616,30,489.791098
2800.562356,30,489.855806
-14190.298801,30,489.925467
-6485.962531,30,489.993989
726.799526,30,490.06526
11.827537,30,490.129764
-17868.826248,30,490.199581
-11086.414507,30,490.267984
-7715.976525,30,490.339267
-9972.82837,30,490.402776
-10164.88938,30,490.468679
-152.148738,30,490.53767
519.886598,30,490.604878
355.200861,30,490.673222
-355.477274,30,490.742446
-407.759579,30,490.804264
-2977.442794,30,490.872817
70.22501,30,490.939867
-279.365921,30,491.011212
531.383416,30,491.077305
-453.603492,30,491.144747
533.487846,30,491.207028
-65.385168,30,491.2737
1687.569596,30,491.339501
1334.656499,30,491.407586
339.010551,30,491.475818
-4299.715063,30,491.547218
-860.590639,30,491.613015
-368.8033,30,491.681838
-322.699219,30,491.746626
-3527.875748,30,491.818781
2384.145619,30,491.886485
3574.426727,30,491.956692
529.385781,30,492.021983
293.551951,30,492.08884
166.351532,30,492.15242
-3648.470443,30,492.226322
5066.338499,30,492.289763
-15348.228035,30,492.360243
-322.892148,30,492.428038
2111.503424,30,492.495111
-36.0,30,492.556184
487.868726,30,492.620538
902.590375,30,492.686321
3632.028038,30,492.757615
-1005.959225,30,492.822107
