r,l,t
2757.5034,30,0
2757.5034,30,1
2757.5034,30,2
2757.5034,30,3
2757.5034,30,4
2757.5034,30,5
2757.5034,30,6
2757.5034,30,7
2757.5034,30,8
2757.5034,30,9
2757.5034,30,10
2757.5034,30,11
2757.5034,30,12
2757.5034,30,13
2757.5034,30,14
2757.5034,30,15
2757.5034,30,16
2757.5034,30,17
2757.5034,30,18
2757.5034,30,19
2757.5034,30,20
2757.5034,30,21
2757.5034,30,22
2757.5034,30,23
2757.5034,30,24
2757.5034,30,25
2757.5034,30,26
2757.5034,30,27
2757.5034,30,28
2757.5034,30,29
2757.5034,30,30
2757.5034,30,31
2757.5034,30,32
2757.5034,30,33
2757.5034,30,34
2757.5034,30,35
2757.5034,30,36
2757.5034,30,37
2757.5034,30,38
2757.5034,30,39
2757.5034,30,40
2757.5034,30,41
2757.5034,30,42
2757.5034,30,43
2757.5034,30,44
2757.5034,30,45
2757.5034,30,46
2757.5034,30,47
2757.5034,30,48
2757.5034,30,49
2757.5034,30,50
2757.5034,30,51
2757.5034,30,52
2757.5034,30,53
2757.5034,30,54
2757.5034,30,55
2757.5034,30,56
2757.5034,30,57
2757.5034,30,58
2757.5034,30,59
2757.5034,30,60
2757.5034,30,61
2757.5034,30,62
2757.5034,30,63
2757.5034,30,64
2757.5034,30,65
2757.5034,30,66
2757.5034,30,67
2757.5034,30,68
2757.5034,30,69
2757.5034,30,70
2757.5034,30,71
2757.5034,30,72
2757.5034,30,73
2757.5034,30,74
2757.5034,30,75
2757.5034,30,76
2757.5034,30,77
2757.5034,30,78
2757.5034,30,79
2757.5034,30,80
2757.5034,30,81
2757.5034,30,82
2757.5034,30,83
2757.5034,30,84
2757.5034,30,85
2757.5034,30,86
2757.5034,30,87
2757.5034,30,88
2757.5034,30,89
2757.5034,30,90
2757.5034,30,91
2757.5034,30,92
2757.5034,30,93
2757.5034,30,94
2757.5034,30,95
2757.5034,30,96
2757.5034,30,97
2757.5034,30,98
2757.5034,30,99
2757.5034,30,100
2757.5034,30,101
2757.5034,30,102
2757.5034,30,103
2757.5034,30,104
2757.5034,30,105
2757.5034,30,106
2757.5034,30,107
2757.5034,30,108
2757.5034,30,109
2757.5034,30,110
2757.5034,30,111
2757.5034,30,112
2757.5034,30,113
2757.5034,30,114
2757.5034,30,115
2757.5034,30,116
2757.5034,30,117
2757.5034,30,118
2757.5034,30,119
2757.5034,30,120
2757.5034,30,121
2757.5034,30,122
2757.5034,30,123
2757.5034,30,124
2757.5034,30,125
2757.5034,30,126
2757.5034,30,127
2757.5034,30,128
2757.5034,30,129
2757.5034,30,130
2757.5034,30,131
2757.5034,30,132
2757.5034,30,133
2757.5034,30,134
2757.5034,30,135
2757.5034,30,136
2757.5034,30,137
2757.5034,30,138
2757.5034,30,139
2757.5034,30,140
2757.5034,30,141
2757.5034,30,142
2757.5034,30,143
2757.5034,30,144
2757.5034,30,145
2757.5034,30,146
2757.5034,30,147
2757.5034,30,148
2757.5034,30,149
2757.5034,30,150
2757.5034,30,151
2757.5034,30,152
2757.5034,30,153
2757.5034,30,154
2757.5034,30,155
2757.5034,30,156
2757.5034,30,157
2757.5034,30,158
2757.5034,30,159
2757.5034,30,160
2757.5034,30,161
2757.5034,30,162
2757.5034,30,163
2757.5034,30,164
2757.5034,30,165
2757.5034,30,166
2757.5034,30,167
2757.5034,30,168
2757.5034,30,169
2757.5034,30,170
2757.5034,30,171
2757.5034,30,172
2757.5034,30,173
2757.5034,30,174
2757.5034,30,175
2757.5034,30,176
2757.5034,30,177
2757.5034,30,178
2757.5034,30,179
2757.5034,30,180
2757.5034,30,181
2757.5034,30,182
2757.5034,30,183
2757.5034,30,184
2757.5034,30,185
2757.5034,30,186
2757.5034,30,187
2757.5034,30,188
2757.5034,30,189
2757.5034,30,190
2757.5034,30,191
2757.5034,30,192
2757.5034,30,193
2757.5034,30,194
2757.5034,30,195
2757.5034,30,196
2757.5034,30,197
2757.5034,30,198
2757.5034,30,199
2757.5034,30,200
2757.5034,30,201
2757.5034,30,202
2757.5034,30,203
2757.5034,30,204
2757.5034,30,205
2757.5034,30,206
2757.5034,30,207
2757.5034,30,208
2757.5034,30,209
2757.5034,30,210
2757.5034,30,211
2757.5034,30,212
2757.5034,30,213
2757.5034,30,214
2757.5034,30,215
2757.5034,30,216
2757.5034,30,217
2757.5034,30,218
2757.5034,30,219
2757.5034,30,220
2757.5034,30,221
2757.5034,30,222
2757.5034,30,223
2757.5034,30,224
2757.5034,30,225
2757.5034,30,226
2757.5034,30,227
2757.5034,30,228
2757.5034,30,229
2757.5034,30,230
2757.5034,30,231
2757.5034,30,232
2757.5034,30,233
2757.5034,30,234
2757.5034,30,235
2757.5034,30,236
2757.5034,30,237
2757.5034,30,238
2757.5034,30,239
2757.5034,30,240
2757.5034,30,241
2757.5034,30,242
2757.5034,30,243
2757.5034,30,244
2757.5034,30,245
2757.5034,30,246
2757.5034,30,247
2757.5034,30,248
2757.5034,30,249
2757.5034,30,250
2757.5034,30,251
2757.5034,30,252
2757.5034,30,253
2757.5034,30,254
2757.5034,30,255
2757.5034,30,256
2757.5034,30,257
2757.5034,30,258
2757.5034,30,259
2757.5034,30,260
2757.5034,30,261
2757.5034,30,262
2757.5034,30,263
2757.5034,30,264
2757.5034,30,265
2757.5034,30,266
2757.5034,30,267
2757.5034,30,268
2757.5034,30,269
2757.5034,30,270
2757.5034,30,271
2757.5034,30,272
2757.5034,30,273
2757.5034,30,274
2757.5034,30,275
2757.5034,30,276
2757.5034,30,277
2757.5034,30,278
