r,l,t
4110.448914,30,2556.415317
5278.059705,30,2556.486082
6884.203206,30,2556.559994
6624.349246,30,2556.64125
5850.053389,30,2556.720505
4527.379867,30,2556.79266
5212.092843,30,2556.861806
7347.491814,30,2556.936501
6438.345876,30,2557.005621
7533.596183,30,2557.078055
5978.61551,30,2557.16564
5603.973135,30,2557.240018
7274.929375,30,2557.309236
6952.885488,30,2557.383992
6480.62917,30,2557.456905
4145.075651,30,2557.529379
6189.108775,30,2557.607521
3500.952489,30,2557.686564
6055.880093,30,2557.759742
6740.815267,30,2557.835419
7150.095639,30,2557.908883
6626.706599,30,2557.983166
6073.838581,30,2558.055172
5456.050779,30,2558.12859
3886.810375,30,2558.202852
3615.788011,30,2558.284635
2950.79837,30,2558.360302
6567.905325,30,2558.432772
6830.493787,30,2558.505355
6290.914083,30,2558.582083
375.344438,30,2558.66705
7773.886403,30,2558.747382
3882.642702,30,2559.928351
7187.608812,30,2560.010627
7421.385589,30,2560.090413
6467.220326,30,2560.158736
7352.100344,30,2560.227184
7755.242157,30,2560.300599
5864.211158,30,2560.36453
6868.16568,30,2560.440537
6085.364843,30,2560.514742
3796.788522,30,2560.593717
2321.06121,30,2560.684146
6601.995245,30,2560.762287
6724.562804,30,2560.837816
6585.034718,30,2560.91095
8640.549477,30,2560.988903
6026.497266,30,2561.068526
3881.700167,30,2561.1478
364.512962,30,2561.21761
2584.631416,30,2561.299601
5764.488786,30,2561.378439
5970.862281,30,2561.456571
1498.197557,30,2561.538063
2315.531505,30,2561.620772
7176.031857,30,2561.702364
5361.992111,30,2561.770112
5482.499616,30,2561.840883
5882.047302,30,2561.914553
5975.800914,30,2561.985131
6783.496652,30,2562.057533
5039.746398,30,2562.129903
6305.301323,30,2562.199601
6524.57455,30,2562.272534
5491.135938,30,2562.342141
5622.665562,30,2562.423114
4848.91884,30,2563.656949
6507.153883,30,2563.729958
4589.010867,30,2563.799404
5042.333844,30,2563.876409
2492.061834,30,2563.955133
5999.123464,30,2564.031004
5098.512436,30,2564.103711
6792.707285,30,2564.176573
4082.661889,30,2564.254048
6923.008236,30,2564.330781
5856.028094,30,2564.403254
3170.516703,30,2564.48218
5487.254711,30,2564.559761
6928.292776,30,2564.642115
6871.513906,30,2564.717413
6184.540814,30,2564.788529
2601.322821,30,2564.863337
4346.974742,30,2564.937809
4784.502739,30,2565.025223
5516.880098,30,2565.107503
6772.670484,30,2565.179225
6615.235701,30,2565.248833
8283.928062,30,2565.321586
7353.358713,30,2565.391724
5203.273202,30,2565.480036
7223.637498,30,2565.570716
6958.957439,30,2565.667124
6702.061915,30,2565.740191
7231.128203,30,2565.815579
5962.336842,30,2565.891067
5552.012411,30,2565.961432
3465.35029,30,2566.028947
7899.676569,30,2566.106691
7165.621781,30,2566.177875
