r,l,t
-82830.798348,500,2587.53774
-99721.554289,500,2588.425934
-101688.21572,500,2590.044128
-90222.875914,500,2590.951707
-92224.203152,500,2592.618963
-90598.68071,500,2593.501508
-96083.90057,500,2595.13521
-90249.825469,500,2596.113599
-93320.273263,500,2597.638916
-88884.553547,500,2598.439587
-87018.676113,500,2599.926189
-81966.836841,500,2600.751713
-86645.876163,500,2602.250313
-78560.616942,500,2603.095758
-82520.244807,500,2604.641546
-91601.39493,500,2605.465041
-89591.125707,500,2607.005156
-74249.643967,500,2607.837147
-77219.051812,500,2609.335107
-83333.091473,500,2610.165859
-68245.03075,500,2611.683395
-90627.662333,500,2612.542556
-74112.379064,500,2614.071196
-80537.91686,500,2614.889726
-92283.779401,500,2616.414708
-73303.490452,500,2617.244037
-69949.494123,500,2618.838841
-83574.387065,500,2619.733114
-72270.15438,500,2621.280917
-63996.231498,500,2622.125453
-79500.422318,500,2623.714355
-72864.823759,500,2624.571845
-69508.657783,500,2626.096461
-65189.053938,500,2627.024979
-69028.13103,500,2628.655701
-63524.816528,500,2629.529623
-62244.991435,500,2631.04457
-63887.763634,500,2631.934918
-66382.124803,500,2633.448942
-62598.070786,500,2634.271636
-63716.672495,500,2635.76289
-69752.097985,500,2636.622953
-53021.738598,500,2637.45705
-58759.79578,500,2639.000775
-67781.116863,500,2639.865374
-57219.996518,500,2641.419091
-53349.011151,500,2642.248649
-62766.168627,500,2643.790274
-67119.722768,500,2644.629134
-56695.059246,500,2646.222208
-50774.268995,500,2647.101976
-57781.24451,500,2648.655886
-43363.482548,500,2649.485931
-51131.561422,500,2651.237901
-54606.105119,500,2652.196758
-60356.156477,500,2653.794845
-56366.678484,500,2654.732692
-56415.881483,500,2656.332007
-58287.392339,500,2657.302749
-49096.280497,500,2658.932146
-54057.509638,500,2659.826446
-53940.477086,500,2661.446235
-43984.112925,500,2662.303516
-43627.674101,500,2663.92113
-41486.899186,500,2664.853597
-49341.085438,500,2666.428288
-39564.8085,500,2667.396976
-38932.849902,500,2668.988435
-36394.39501,500,2669.914034
-38504.752497,500,2671.546721
-38148.387047,500,2672.496869
-45491.974615,500,2674.040642
-37515.194221,500,2674.97161
-41219.54831,500,2676.627968
-28389.905758,500,2677.588352
-36127.414219,500,2679.137947
-44727.606211,500,2680.098031
-41605.536432,500,2681.632088
-41348.612442,500,2682.618752
-39033.331748,500,2684.220029
-38176.366082,500,2685.138224
-27074.917382,500,2686.776457
-35870.532263,500,2687.632525
-27519.363582,500,2689.173444
-30095.156727,500,2690.113232
-25404.348178,500,2691.058588
-31303.86988,500,2692.611657
-22451.909743,500,2693.527315
-27357.325712,500,2695.134908
-23991.877668,500,2696.070033
-18093.949542,500,2697.610787
-24833.502711,500,2698.47111
-26465.684079,500,2700.031371
-23259.435156,500,2700.862625
-19979.051602,500,2702.440559
-16160.341141,500,2703.316998
-20353.169052,500,2704.859312
-19547.148481,500,2705.708778
-22516.729886,500,2707.302671
-20744.779285,500,2708.1496
