episode,policy_loss,entropy
0,6.631732228662033e-15,-0.0
1,6.631732228662033e-15,-0.0
2,6.631732228662033e-15,-0.0
3,6.631732228662033e-15,-0.0
4,6.631732228662033e-15,-0.0
5,6.631732228662033e-15,-0.0
6,6.631732228662033e-15,-0.0
7,6.631732228662033e-15,-0.0
8,6.631732228662033e-15,-0.0
9,6.631732228662033e-15,-0.0
10,6.631732228662033e-15,-0.0
11,6.631732228662033e-15,-0.0
12,6.631732228662033e-15,-0.0
13,6.631732228662033e-15,-0.0
14,6.631732228662033e-15,-0.0
15,6.631732228662033e-15,-0.0
16,6.631732228662033e-15,-0.0
17,6.631732228662033e-15,-0.0
18,6.631732228662033e-15,-0.0
19,6.631732228662033e-15,-0.0
20,6.631732228662033e-15,-0.0
21,6.631732228662033e-15,-0.0
22,6.631732228662033e-15,-0.0
23,6.631732228662033e-15,-0.0
24,6.631732228662033e-15,-0.0
25,6.631732228662033e-15,-0.0
26,6.631732228662033e-15,-0.0
27,6.631732228662033e-15,-0.0
28,6.631732228662033e-15,-0.0
29,6.631732228662033e-15,-0.0
30,6.631732228662033e-15,-0.0
31,6.631732228662033e-15,-0.0
32,6.631732228662033e-15,-0.0
33,6.631732228662033e-15,-0.0
34,6.631732228662033e-15,-0.0
35,6.631732228662033e-15,-0.0
36,6.631732228662033e-15,-0.0
37,6.631732228662033e-15,-0.0
38,6.631732228662033e-15,-0.0
39,6.631732228662033e-15,-0.0
40,6.631732228662033e-15,-0.0
41,6.631732228662033e-15,-0.0
42,6.631732228662033e-15,-0.0
43,6.631732228662033e-15,-0.0
44,6.631732228662033e-15,-0.0
45,6.631732228662033e-15,-0.0
46,6.631732228662033e-15,-0.0
47,6.631732228662033e-15,-0.0
48,6.631732228662033e-15,-0.0
49,6.631732228662033e-15,-0.0
50,6.631732228662033e-15,-0.0
51,6.631732228662033e-15,-0.0
52,6.631732228662033e-15,-0.0
53,6.631732228662033e-15,-0.0
54,6.631732228662033e-15,-0.0
55,6.631732228662033e-15,-0.0
56,6.631732228662033e-15,-0.0
57,6.631732228662033e-15,-0.0
58,6.631732228662033e-15,-0.0
59,6.631732228662033e-15,-0.0
60,6.631732228662033e-15,-0.0
61,6.631732228662033e-15,-0.0
62,6.631732228662033e-15,-0.0
63,6.631732228662033e-15,-0.0
64,6.631732228662033e-15,-0.0
65,6.631732228662033e-15,-0.0
66,6.631732228662033e-15,-0.0
67,6.631732228662033e-15,-0.0
68,6.631732228662033e-15,-0.0
69,6.631732228662033e-15,-0.0
70,6.631732228662033e-15,-0.0
71,6.631732228662033e-15,-0.0
72,6.631732228662033e-15,-0.0
73,6.631732228662033e-15,-0.0
74,6.631732228662033e-15,-0.0
75,6.631732228662033e-15,-0.0
76,6.631732228662033e-15,-0.0
77,6.631732228662033e-15,-0.0
78,6.631732228662033e-15,-0.0
79,6.631732228662033e-15,-0.0
80,6.631732228662033e-15,-0.0
81,6.631732228662033e-15,-0.0
82,6.631732228662033e-15,-0.0
83,6.631732228662033e-15,-0.0
84,6.631732228662033e-15,-0.0
85,6.631732228662033e-15,-0.0
86,6.631732228662033e-15,-0.0
87,6.631732228662033e-15,-0.0
88,6.631732228662033e-15,-0.0
89,6.631732228662033e-15,-0.0
90,6.631732228662033e-15,-0.0
91,6.631732228662033e-15,-0.0
92,6.631732228662033e-15,-0.0
93,6.631732228662033e-15,-0.0
94,6.631732228662033e-15,-0.0
95,6.631732228662033e-15,-0.0
96,6.631732228662033e-15,-0.0
97,6.631732228662033e-15,-0.0
98,6.631732228662033e-15,-0.0
99,6.631732228662033e-15,-0.0
100,6.631732228662033e-15,-0.0
101,6.631732228662033e-15,-0.0
102,6.631732228662033e-15,-0.0
103,6.631732228662033e-15,-0.0
104,6.631732228662033e-15,-0.0
105,6.631732228662033e-15,-0.0
106,6.631732228662033e-15,-0.0
107,6.631732228662033e-15,-0.0
108,6.631732228662033e-15,-0.0
109,6.631732228662033e-15,-0.0
110,6.631732228662033e-15,-0.0
111,6.631732228662033e-15,-0.0
112,6.631732228662033e-15,-0.0
113,6.631732228662033e-15,-0.0
114,6.631732228662033e-15,-0.0
115,6.631732228662033e-15,-0.0
116,6.631732228662033e-15,-0.0
117,6.631732228662033e-15,-0.0
118,6.631732228662033e-15,-0.0
119,6.631732228662033e-15,-0.0
120,6.631732228662033e-15,-0.0
121,6.631732228662033e-15,-0.0
122,6.631732228662033e-15,-0.0
123,6.631732228662033e-15,-0.0
124,6.631732228662033e-15,-0.0
125,6.631732228662033e-15,-0.0
126,6.631732228662033e-15,-0.0
127,6.631732228662033e-15,-0.0
128,6.631732228662033e-15,-0.0
129,6.631732228662033e-15,-0.0
130,6.631732228662033e-15,-0.0
131,6.631732228662033e-15,-0.0
132,6.631732228662033e-15,-0.0
133,6.631732228662033e-15,-0.0
134,6.631732228662033e-15,-0.0
135,6.631732228662033e-15,-0.0
136,6.631732228662033e-15,-0.0
137,6.631732228662033e-15,-0.0
138,6.631732228662033e-15,-0.0
139,6.631732228662033e-15,-0.0
140,6.631732228662033e-15,-0.0
141,6.631732228662033e-15,-0.0
142,6.631732228662033e-15,-0.0
143,6.631732228662033e-15,-0.0
144,6.631732228662033e-15,-0.0
145,6.631732228662033e-15,-0.0
146,6.631732228662033e-15,-0.0
147,6.631732228662033e-15,-0.0
148,6.631732228662033e-15,-0.0
149,6.631732228662033e-15,-0.0
150,6.631732228662033e-15,-0.0
151,6.631732228662033e-15,-0.0
152,6.631732228662033e-15,-0.0
153,6.631732228662033e-15,-0.0
154,6.631732228662033e-15,-0.0
155,6.631732228662033e-15,-0.0
156,6.631732228662033e-15,-0.0
157,6.631732228662033e-15,-0.0
158,6.631732228662033e-15,-0.0
159,6.631732228662033e-15,-0.0
160,6.631732228662033e-15,-0.0
161,6.631732228662033e-15,-0.0
162,6.631732228662033e-15,-0.0
163,6.631732228662033e-15,-0.0
164,6.631732228662033e-15,-0.0
165,6.631732228662033e-15,-0.0
166,6.631732228662033e-15,-0.0
167,6.631732228662033e-15,-0.0
168,6.631732228662033e-15,-0.0
169,6.631732228662033e-15,-0.0
170,6.631732228662033e-15,-0.0
171,6.631732228662033e-15,-0.0
172,6.631732228662033e-15,-0.0
173,6.631732228662033e-15,-0.0
174,6.631732228662033e-15,-0.0
175,6.631732228662033e-15,-0.0
176,6.631732228662033e-15,-0.0
177,6.631732228662033e-15,-0.0
178,6.631732228662033e-15,-0.0
179,6.631732228662033e-15,-0.0
180,6.631732228662033e-15,-0.0
181,6.631732228662033e-15,-0.0
182,6.631732228662033e-15,-0.0
183,6.631732228662033e-15,-0.0
184,6.631732228662033e-15,-0.0
185,6.631732228662033e-15,-0.0
186,6.631732228662033e-15,-0.0
187,6.631732228662033e-15,-0.0
188,6.631732228662033e-15,-0.0
189,6.631732228662033e-15,-0.0
190,6.631732228662033e-15,-0.0
191,6.631732228662033e-15,-0.0
192,6.631732228662033e-15,-0.0
193,6.631732228662033e-15,-0.0
194,6.631732228662033e-15,-0.0
195,6.631732228662033e-15,-0.0
196,6.631732228662033e-15,-0.0
197,6.631732228662033e-15,-0.0
198,6.631732228662033e-15,-0.0
199,6.631732228662033e-15,-0.0
200,6.631732228662033e-15,-0.0
201,6.631732228662033e-15,-0.0
202,6.631732228662033e-15,-0.0
203,6.631732228662033e-15,-0.0
204,6.631732228662033e-15,-0.0
205,6.631732228662033e-15,-0.0
206,6.631732228662033e-15,-0.0
207,6.631732228662033e-15,-0.0
208,6.631732228662033e-15,-0.0
209,6.631732228662033e-15,-0.0
210,6.631732228662033e-15,-0.0
211,6.631732228662033e-15,-0.0
212,6.631732228662033e-15,-0.0
213,6.631732228662033e-15,-0.0
214,6.631732228662033e-15,-0.0
215,6.631732228662033e-15,-0.0
216,6.631732228662033e-15,-0.0
217,6.631732228662033e-15,-0.0
