r,l,t
6875.566197,30,2741.807832
6434.211938,30,2741.892441
6339.539272,30,2741.976927
5974.267967,30,2742.071197
7231.762426,30,2742.152436
7495.777625,30,2742.235284
7795.703628,30,2742.310944
8016.962994,30,2742.383402
5742.815811,30,2742.457891
7290.243804,30,2742.528752
5975.264829,30,2742.600556
6380.157471,30,2742.680709
7018.671232,30,2742.751113
7168.525998,30,2742.82292
6870.330915,30,2742.89683
6009.628801,30,2742.972984
6222.696923,30,2743.04533
4496.383294,30,2743.12407
5362.642286,30,2743.198606
5959.247564,30,2743.274112
7439.761777,30,2743.351472
5210.167974,30,2743.421747
6031.016081,30,2743.495988
5859.568027,30,2743.571849
5506.422974,30,2743.643416
5011.334734,30,2743.721499
5522.122299,30,2743.797499
7227.568481,30,2743.873807
6295.616081,30,2743.964752
4862.172793,30,2744.050048
4594.333226,30,2744.127976
7394.064783,30,2744.207517
5821.250696,30,2745.576241
7737.38812,30,2745.650231
6838.055052,30,2745.719441
6315.082528,30,2745.790042
6851.333747,30,2745.864116
6310.021946,30,2745.940601
5010.657175,30,2746.044187
7006.476258,30,2746.11957
6092.467808,30,2746.191666
6537.396037,30,2746.276175
4852.721744,30,2746.348423
6136.672614,30,2746.420655
5942.841946,30,2746.489901
6728.037399,30,2746.5598
9078.069394,30,2746.635164
7041.969039,30,2746.713663
5560.055887,30,2746.788748
5474.917127,30,2746.859083
6698.426795,30,2746.931737
6746.171166,30,2747.017153
6522.082949,30,2747.10044
5424.198754,30,2747.178262
6855.644152,30,2747.255201
5984.848916,30,2747.328354
6581.379483,30,2747.401365
5801.052003,30,2747.46998
5571.588391,30,2747.541409
6411.680533,30,2747.612175
6681.785152,30,2747.681905
4602.052808,30,2747.759338
6211.09161,30,2747.830707
6793.251799,30,2747.902016
5891.385951,30,2747.991694
6228.258112,30,2748.101568
5842.843791,30,2749.2869
4236.641994,30,2749.360115
6235.151443,30,2749.435452
3796.652737,30,2749.511723
5626.83413,30,2749.583789
6588.483877,30,2749.653258
6716.668967,30,2749.720523
6134.375332,30,2749.788989
6697.048609,30,2749.862854
8039.950862,30,2749.936054
6113.225772,30,2750.025576
4021.507207,30,2750.114038
7464.02303,30,2750.198881
7510.386162,30,2750.271249
7160.975401,30,2750.345386
6014.214925,30,2750.419403
4787.17434,30,2750.49345
6697.820169,30,2750.57435
6671.760953,30,2750.649975
5469.463808,30,2750.720572
6454.644462,30,2750.792804
7056.714003,30,2750.868835
8073.018168,30,2750.947495
7001.988523,30,2751.029528
6971.059311,30,2751.103291
4380.450527,30,2751.18061
7252.902543,30,2751.253642
6661.634964,30,2751.325349
6492.911675,30,2751.401125
5905.986944,30,2751.477758
4054.579622,30,2751.554257
6343.346454,30,2751.630186
7854.911247,30,2751.704682
6890.360567,30,2751.778686
