r,l,t
2791.990522,30,366.286128
1766.971455,30,366.357429
3693.835508,30,366.426129
3446.941916,30,366.496516
2564.248579,30,366.571739
-15386.693302,30,366.637172
2709.133592,30,366.70775
2195.72874,30,366.773795
2186.035709,30,366.842772
1865.674638,30,366.906368
0.0,30,366.97472
-1993.334793,30,367.039565
-1361.217793,30,367.113031
1073.654514,30,367.179833
1241.41956,30,367.249523
-12042.465691,30,367.316016
2610.263999,30,367.381535
696.498513,30,367.442642
1232.53163,30,367.51243
762.901758,30,367.573367
5679.699604,30,367.639293
-739.908599,30,367.70437
-2658.451244,30,367.778427
4931.147887,30,367.853762
3189.204755,30,367.926591
539.750969,30,367.997339
3911.921832,30,368.067785
4575.793766,30,368.131269
124.733361,30,368.195756
284.848732,30,368.258154
-221.5,30,368.32288
-5580.111917,30,368.384261
4404.738039,30,368.45812
-2076.766496,30,368.534318
2198.763569,30,368.617544
-127.999999,30,368.695344
5713.876101,30,368.782743
-15103.031586,30,368.856656
5190.392582,30,368.949733
-7648.311949,30,369.026843
-2624.677305,30,369.118185
-0.509027,30,369.184854
2409.669503,30,369.264982
3083.140462,30,369.346508
5034.729222,30,369.440436
5318.261721,30,369.534844
5876.379764,30,369.622154
628.864682,30,369.709105
2860.20317,30,369.797861
3026.91524,30,369.880985
-1465.681399,30,369.969335
-5031.219193,30,370.055344
762.535897,30,370.137052
-7308.430295,30,370.214457
989.177223,30,370.292875
795.928883,30,370.361187
-6017.268871,30,370.433007
4178.623707,30,370.507483
-2488.496308,30,370.585418
4646.791543,30,370.659094
1392.058852,30,370.736954
-1928.109093,30,370.817988
957.803657,30,370.898971
5809.470197,30,370.97103
3134.872307,30,371.051291
484.53859,30,371.123711
2861.169456,30,371.205508
5490.683443,30,371.284238
6905.012548,30,371.367203
-4121.153526,30,371.440776
939.676345,30,371.520967
1100.524438,30,371.595743
-765.982807,30,371.675822
6675.889104,30,371.753164
-1927.651611,30,371.833028
4583.755658,30,371.907442
3800.744012,30,371.983037
-2823.472962,30,372.057531
452.224572,30,372.137245
-3241.895391,30,372.210274
5733.079045,30,372.289736
1667.903523,30,372.362367
1850.150331,30,372.432792
378.170857,30,372.505235
-1301.737976,30,372.580036
3046.327414,30,372.655582
857.399467,30,372.727939
0.0,30,372.797887
2702.503899,30,372.873092
-191.909786,30,372.944583
-10939.604555,30,373.024641
-18403.842723,30,373.099511
-22359.093306,30,373.177867
-22409.105972,30,373.255891
180.759077,30,373.332152
3881.509889,30,373.410035
2595.865426,30,373.490215
5773.850775,30,373.565012
-8881.77926,30,373.644828
-22268.672131,30,373.735261
