episode,q_loss
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,27420.841796875
105,27420.841796875
106,27420.841796875
107,27420.841796875
108,27323.712890625
109,27323.712890625
110,27323.712890625
111,27323.712890625
112,24241.23828125
113,24241.23828125
114,24241.23828125
115,24241.23828125
116,27123.58203125
117,27123.58203125
118,27123.58203125
119,27123.58203125
120,24329.556640625
121,24329.556640625
122,24329.556640625
123,24329.556640625
124,25676.72265625
125,25676.72265625
126,25676.72265625
127,25676.72265625
128,25345.21875
129,25345.21875
130,25345.21875
131,25345.21875
132,23695.32421875
133,23695.32421875
134,23695.32421875
135,23695.32421875
136,19560.2109375
137,19560.2109375
138,19560.2109375
139,19560.2109375
140,19407.626953125
141,19407.626953125
142,19407.626953125
143,19407.626953125
144,18489.50390625
145,18489.50390625
146,18489.50390625
147,18489.50390625
148,19728.306640625
149,19728.306640625
150,19728.306640625
151,19728.306640625
152,19087.427734375
153,19087.427734375
154,19087.427734375
155,19087.427734375
156,18931.064453125
157,18931.064453125
158,18931.064453125
159,18931.064453125
160,17212.263671875
161,17212.263671875
162,17212.263671875
163,17212.263671875
164,18863.51953125
165,18863.51953125
166,18863.51953125
167,18863.51953125
168,16938.69140625
169,16938.69140625
170,16938.69140625
171,16938.69140625
172,18843.23046875
173,18843.23046875
174,18843.23046875
175,18843.23046875
176,16124.93359375
177,16124.93359375
178,16124.93359375
179,16124.93359375
180,15838.3486328125
181,15838.3486328125
182,15838.3486328125
183,15838.3486328125
184,13990.3837890625
185,13990.3837890625
186,13990.3837890625
187,13990.3837890625
188,14029.130859375
189,14029.130859375
190,14029.130859375
191,14029.130859375
192,15917.8740234375
193,15917.8740234375
194,15917.8740234375
195,15917.8740234375
196,14638.2373046875
197,14638.2373046875
198,14638.2373046875
199,14638.2373046875
200,13861.6044921875
201,13861.6044921875
202,13861.6044921875
203,13861.6044921875
204,13995.3603515625
205,13995.3603515625
206,13995.3603515625
207,13995.3603515625
208,11858.6376953125
209,11858.6376953125
210,11858.6376953125
211,11858.6376953125
212,12313.7744140625
213,12313.7744140625
214,12313.7744140625
215,12313.7744140625
216,13121.9990234375
217,13121.9990234375
218,13121.9990234375
219,13121.9990234375
220,10042.013671875
221,10042.013671875
222,10042.013671875
223,10042.013671875
224,8298.298828125
