r,l,t
-82830.798348,500,2719.047528
-99721.554289,500,2720.099214
-102128.268285,500,2721.778945
-91264.219862,500,2722.745695
-94303.321877,500,2724.330547
-94413.851872,500,2725.273421
-101609.284842,500,2726.869741
-91998.101455,500,2727.845358
-95129.558652,500,2729.462854
-93896.904234,500,2730.37984
-93728.466228,500,2731.906129
-91641.120995,500,2732.86968
-97151.775729,500,2734.413934
-84807.055438,500,2735.400722
-88407.569149,500,2736.991689
-100522.023061,500,2737.914915
-101825.507173,500,2739.692843
-86426.475777,500,2740.697834
-85085.346294,500,2742.339929
-91731.524174,500,2743.274296
-77623.912485,500,2744.844026
-97753.223028,500,2745.706764
-79666.123056,500,2747.425025
-88182.533539,500,2748.334362
-103279.713911,500,2749.897634
-83109.174158,500,2750.88369
-78396.252508,500,2752.449413
-94961.490716,500,2753.348882
-87729.411454,500,2754.946092
-73889.588178,500,2755.956568
-86116.297889,500,2757.547489
-85542.326861,500,2758.42598
-79227.588717,500,2759.942676
-85462.001814,500,2760.897276
-76607.787663,500,2762.430171
-76377.507053,500,2763.273656
-83532.28972,500,2764.87322
-87254.428638,500,2765.823866
-86428.264359,500,2767.360898
-82733.856917,500,2768.269553
-72305.503184,500,2769.844854
-91329.500448,500,2770.68049
-78437.585021,500,2771.519741
-78941.053719,500,2773.031984
-86802.17153,500,2773.871925
-75664.095497,500,2775.390547
-75036.909313,500,2776.229757
-83823.19295,500,2777.79443
-88559.016586,500,2778.768075
-67985.863805,500,2780.277429
-67657.692817,500,2781.187493
-76961.730691,500,2782.817368
-69025.331407,500,2783.619239
-79977.086715,500,2785.189686
-81608.442515,500,2786.015901
-83336.192528,500,2787.526378
-76291.238616,500,2788.385188
-83372.276329,500,2789.954902
-75902.813577,500,2790.766999
-72218.893345,500,2792.382854
-82734.501159,500,2793.287871
-71061.097194,500,2794.909434
-70244.634114,500,2795.819971
-68664.174248,500,2797.453195
-68469.407528,500,2798.368882
-78972.894898,500,2799.911616
-68325.096009,500,2800.768763
-70233.413596,500,2802.362971
-66697.977803,500,2803.261786
-61863.249733,500,2804.916983
-75688.265721,500,2805.789559
-71217.024338,500,2807.385945
-67873.801399,500,2808.310964
-74814.59396,500,2809.880759
-62852.005335,500,2810.735555
-67197.150175,500,2812.307408
-74836.957368,500,2813.168996
-75330.956928,500,2814.721585
-71395.899801,500,2815.554482
-81310.430692,500,2817.108481
-71922.35254,500,2818.118962
-59143.958745,500,2819.809016
-71004.359176,500,2820.773535
-58681.67029,500,2822.490295
-76277.504793,500,2823.533043
-71815.173354,500,2824.59109
-71503.58847,500,2826.359768
-57612.044116,500,2827.510333
-64890.963054,500,2829.378214
-59211.901703,500,2830.464457
-60207.000762,500,2832.209693
-71795.885763,500,2833.202419
-68475.766401,500,2834.997396
-66105.537538,500,2836.036785
-59631.931143,500,2837.751844
-59008.98409,500,2838.83809
-69554.837016,500,2840.63807
-75804.395035,500,2841.682936
-66948.912398,500,2843.487596
-62745.771674,500,2844.552695
