r,l,t
491.812901,30,647.06864
1057.495577,30,647.155351
1048.929294,30,647.23999
1453.477729,30,647.316873
273.807411,30,647.415048
169.22209,30,647.521811
130.40673,30,647.624687
198.229808,30,647.717775
819.193336,30,647.809711
25.790735,30,647.89503
249.64514,30,648.015578
3290.412088,30,648.113917
-1438.825381,30,648.210989
238.107128,30,648.30354
2630.492178,30,648.398751
2558.782435,30,648.488883
-280.912194,30,648.582651
3664.328812,30,648.667964
3348.764117,30,648.77198
3675.283739,30,648.873394
1283.148776,30,648.978048
-28246.349288,30,649.070012
-13686.516773,30,649.162297
-22071.401493,30,649.251196
-8467.434794,30,649.344745
2757.50334,30,649.435016
3588.377971,30,649.527657
3492.049497,30,649.614232
2958.167715,30,649.729326
4036.209916,30,649.824265
2824.370367,30,649.91572
1594.653834,30,650.002047
1473.581818,30,650.094434
222.175026,30,650.184258
-31841.046824,30,650.278716
-21190.715888,30,650.371176
-33646.873503,30,650.464857
-26375.220252,30,650.554473
-22992.609719,30,650.657049
-7236.663746,30,650.753861
-4080.874206,30,650.843603
3744.503258,30,650.923734
3604.229348,30,651.006914
2797.406138,30,651.085942
-11221.613882,30,651.167519
1483.493409,30,651.242629
1873.197334,30,651.320115
1422.264997,30,651.395536
-384.587141,30,651.475477
2064.170344,30,651.551638
4388.745445,30,651.633638
2925.92043,30,651.709314
4797.28462,30,651.791594
-2262.569756,30,651.865054
-11385.108074,30,651.946874
340.94501,30,652.028824
-79.864726,30,652.104823
-225.0,30,652.178121
-216.0,30,652.252936
11.827537,30,652.324681
2.631714,30,652.396496
69.831914,30,652.465464
-89.904638,30,652.54122
41.493545,30,652.61239
-88.471036,30,652.688732
-2591.002063,30,652.756973
-4198.233315,30,652.837523
-3892.541662,30,652.915684
-4543.845967,30,653.024639
-3785.410745,30,653.130343
-7580.688644,30,653.226874
-12072.740963,30,653.327372
-21061.829331,30,653.447597
-264.039023,30,653.54816
-1953.679369,30,653.64791
-2269.883327,30,653.738028
45.907211,30,653.832337
93.969832,30,653.933676
-9.0,30,654.046138
3275.4099,30,654.142819
3616.652674,30,654.248773
4111.397973,30,654.340626
2642.453236,30,654.421475
4952.740857,30,654.504809
-16114.106115,30,654.614892
-32249.360092,30,654.725957
-31067.597657,30,654.831044
-15371.523979,30,654.928232
-14.5,30,655.023683
6.090213,30,655.110121
98.741527,30,655.203669
2400.301947,30,655.288453
-4814.459554,30,655.39397
-7404.255466,30,655.488034
-7404.255466,30,655.57772
-4868.269165,30,655.670447
1701.409084,30,655.766393
1760.473122,30,655.875217
3881.712219,30,655.979936
2997.347154,30,656.05926
