r,l,t
-82186.268181,500,1490.365645
-95530.807106,500,1492.031273
-94007.515954,500,1493.695401
-81102.004233,500,1495.362114
-74538.948764,500,1497.162763
-72970.818313,500,1499.065935
-73314.313112,500,1500.880106
-61746.054015,500,1502.613188
-49288.387936,500,1504.242826
-60928.862665,500,1505.858855
-51295.055081,500,1507.506267
-42719.097151,500,1509.226874
-49760.639345,500,1510.893741
-37909.803729,500,1512.496693
-43741.154603,500,1514.094848
-39404.929645,500,1515.686925
-35645.44226,500,1517.309056
-27294.062221,500,1518.899036
-20185.311306,500,1520.491992
-25270.881451,500,1522.110294
-12971.372771,500,1523.696926
-4781.953049,500,1525.292735
15430.043432,500,1526.900975
19871.376843,500,1528.494559
26395.144059,500,1530.114939
36698.967816,500,1531.703249
37669.972792,500,1533.316007
39712.973682,500,1535.06353
40314.045938,500,1536.875963
43240.883917,500,1538.743949
42970.346706,500,1540.495999
41460.704579,500,1542.171053
44480.978279,500,1544.037429
46227.551939,500,1545.793249
44263.384153,500,1547.426629
44898.995808,500,1549.033362
43455.861768,500,1550.637647
47007.870227,500,1552.24702
45576.574788,500,1553.836236
43938.542328,500,1555.443077
44924.246351,500,1557.067651
44754.10607,500,1558.669077
44496.311921,500,1560.503534
46001.620164,500,1562.3656
44898.226427,500,1564.226676
43509.566782,500,1566.086069
44317.092493,500,1568.003948
44133.840156,500,1569.715375
44377.801236,500,1571.485831
44214.243954,500,1573.29543
44477.058521,500,1575.060395
45253.150388,500,1576.782488
43986.110083,500,1578.458326
45170.187234,500,1580.127516
45344.625557,500,1581.791796
44915.338519,500,1583.465664
44391.489773,500,1585.087421
44986.25684,500,1586.759537
45046.736798,500,1588.638737
44693.908299,500,1590.366277
45120.73336,500,1592.027464
44658.906441,500,1593.693229
44751.745383,500,1595.246381
44768.30024,500,1596.69678
44980.73336,500,1598.154689
44688.077133,500,1599.596443
45000.0,500,1601.040275
44853.662329,500,1602.475079
45021.790734,500,1603.889503
44687.601728,500,1605.332226
44860.0,500,1606.816885
44860.0,500,1608.437637
44860.0,500,1610.206164
44978.770554,500,1611.945449
45000.0,500,1613.554703
45000.0,500,1615.16235
45000.0,500,1616.789667
44860.0,500,1618.493892
45053.528678,500,1620.366468
44860.0,500,1622.231535
45000.0,500,1624.108662
45000.0,500,1625.969375
45000.0,500,1627.853753
45000.0,500,1629.577466
45000.0,500,1631.194561
45000.0,500,1632.812534
45000.0,500,1634.423835
45000.0,500,1636.02946
45000.0,500,1637.652738
45000.0,500,1639.276569
45000.0,500,1640.883634
45000.0,500,1642.560314
45000.0,500,1644.229954
45000.0,500,1645.892227
45000.0,500,1647.566784
45000.0,500,1649.246073
45000.0,500,1650.844405
45000.0,500,1652.457885
45000.0,500,1654.062403
45000.0,500,1655.680041
