r,l,t
491.812901,30,597.016853
1057.495577,30,597.07741
1048.929294,30,597.142946
1453.477729,30,597.211159
273.807411,30,597.28288
169.22209,30,597.371944
130.40673,30,597.4361
198.229808,30,597.496909
819.193336,30,597.556266
25.790735,30,597.614083
249.64514,30,597.673987
3290.412088,30,597.735159
-1438.825381,30,597.79958
238.107128,30,597.860855
2630.492178,30,597.928848
2558.782435,30,598.003387
-280.912194,30,598.074901
3664.328812,30,598.150122
3348.764117,30,598.234652
3675.283739,30,598.313509
1283.148776,30,598.39506
-28246.349288,30,598.457422
-13686.516773,30,598.522148
-22071.401493,30,598.591847
-8467.434794,30,598.663705
2757.50334,30,598.731169
3588.377971,30,598.804266
3492.049497,30,598.882322
2958.167715,30,598.958047
4036.209916,30,599.017814
2824.370367,30,599.076737
1594.653834,30,599.136908
1473.581818,30,599.207498
222.175026,30,599.274743
-31841.046824,30,599.344715
-21190.715888,30,599.424939
-33646.873503,30,599.507085
-26375.220252,30,599.590435
-22992.609719,30,599.675643
-7236.663746,30,599.75544
-4080.874206,30,599.827852
3744.503258,30,599.903412
3604.229348,30,599.998538
2797.406138,30,600.059731
-11221.613882,30,600.13696
1483.493409,30,600.219875
1873.197334,30,600.300741
1422.264997,30,600.379443
-384.587141,30,600.443963
2064.170344,30,600.506129
4388.745445,30,600.574306
2925.92043,30,600.649881
4797.28462,30,600.733195
-2262.569756,30,600.806295
-11385.108074,30,600.888232
340.94501,30,600.945599
-79.864726,30,601.00813
-225.0,30,601.066808
-216.0,30,601.138473
11.827537,30,601.2119
2.631714,30,601.279354
69.831914,30,601.354975
-89.904638,30,601.434871
41.493545,30,601.495308
-88.471036,30,601.558587
-2591.002063,30,601.634151
-4198.233315,30,601.718787
-3892.541662,30,601.795683
-4543.845967,30,601.875139
-3785.410745,30,601.939179
-7580.688644,30,602.006831
-12072.740963,30,602.069982
-21061.829331,30,602.154464
-264.039023,30,602.231063
-1953.679369,30,602.29337
-2269.883327,30,602.350553
45.907211,30,602.410834
93.969832,30,602.468532
-9.0,30,602.529887
3275.4099,30,602.587735
3616.652674,30,602.652874
4111.397973,30,602.714892
2642.453236,30,602.784643
4952.740857,30,602.84207
-16114.106115,30,602.92273
-32249.360092,30,602.991422
-31067.597657,30,603.063353
-15371.523979,30,603.128942
-14.5,30,603.208633
6.090213,30,603.278682
98.741527,30,603.338775
2400.301947,30,603.407013
-4814.459554,30,603.493025
-7404.255466,30,603.563055
-7404.255466,30,603.640461
-4868.269165,30,603.714025
1701.409084,30,603.795297
1760.473122,30,603.873698
3881.712219,30,603.950302
2997.347154,30,604.011871
