episode,reward,length,time
0,44355.201494,500,14604.754972
1,35920.767562,500,14605.883425
2,40006.039989,500,14608.567628
3,45313.395817,500,14609.645162
4,43849.516309,500,14610.724393
5,45563.964162,500,14611.945053
6,41679.082217,500,14614.707534
7,41145.398988,500,14615.856044
8,38858.09756,500,14616.979694
9,36546.753712,500,14618.043681
10,42159.811267,500,14620.660161
11,42085.636083,500,14621.730391
12,38176.55536,500,14622.914828
13,38442.108937,500,14624.07147
14,32290.294302,500,14626.856712
15,28334.941582,500,14628.00181
16,34663.529514,500,14629.196573
17,28281.414656,500,14630.377352
18,28047.526495,500,14633.134458
19,30303.666838,500,14634.199725
20,23861.937996,500,14635.22707
21,30285.668333,500,14636.39154
22,35055.379525,500,14638.964405
23,35477.014616,500,14640.061768
24,36143.295386,500,14641.237696
25,37008.773196,500,14642.375119
26,35587.607618,500,14645.151415
27,24310.697741,500,14646.392024
28,33325.480333,500,14647.876606
29,40442.005549,500,14649.231648
30,28475.544685,500,14651.872112
31,32460.60139,500,14653.010458
32,28394.180564,500,14654.119823
33,24267.980411,500,14655.275242
34,24806.232075,500,14658.069625
35,36137.139336,500,14659.206995
36,38109.639694,500,14660.404938
37,32021.010571,500,14661.594252
38,25906.063234,500,14664.336314
39,26190.988951,500,14665.485348
40,41125.707301,500,14666.581426
41,37461.394756,500,14667.74845
42,25247.519798,500,14668.962114
43,15863.603911,500,14671.645431
44,19328.45958,500,14672.788689
45,21810.139682,500,14673.932455
46,4403.417888,500,14675.061776
47,24839.574678,500,14677.844919
48,24753.911735,500,14678.892132
49,27140.433867,500,14679.917623
50,14177.899346,500,14681.053854
51,8653.564,500,14683.835681
52,21176.982973,500,14684.96656
53,18072.519975,500,14686.05458
54,25143.096532,500,14687.206838
55,18182.538771,500,14689.876073
56,25740.189473,500,14691.007351
57,32836.911791,500,14692.062292
58,21678.21102,500,14693.168485
59,22431.897393,500,14695.748287
60,32426.800927,500,14696.786138
61,25266.469585,500,14697.814248
62,31239.917356,500,14698.956978
63,29160.089488,500,14701.571847
64,27733.601094,500,14702.621089
65,26692.520109,500,14703.716963
66,29926.257595,500,14704.794377
67,30566.118767,500,14707.568253
68,31010.056806,500,14708.613065
69,36353.975402,500,14709.720886
70,29439.956417,500,14710.824625
71,34586.861622,500,14713.536192
72,39729.35382,500,14714.658859
73,34167.532997,500,14715.807158
74,44604.019789,500,14716.940709
75,20789.752151,500,14719.584472
76,35290.587419,500,14720.590699
77,39655.392675,500,14721.609294
78,32936.932645,500,14722.608659
79,36391.807601,500,14725.404933
80,43301.65429,500,14726.550468
81,45643.477886,500,14727.547911
82,44578.451518,500,14728.612856
83,43275.325934,500,14729.666656
84,44470.959256,500,14732.214549
85,43115.406822,500,14733.303135
86,45568.694654,500,14734.324233
87,44117.135842,500,14735.321431
88,30017.312771,500,14737.98859
89,30062.07314,500,14738.972228
90,30527.061586,500,14739.994398
91,35547.68694,500,14741.018693
92,27722.940122,500,14743.566761
93,20300.918633,500,14744.699015
94,29239.965358,500,14745.816089
95,23407.486447,500,14747.047964
96,29536.942373,500,14749.637168
97,25347.092666,500,14750.707603
98,25341.321985,500,14751.756806
99,30228.447051,500,14752.804851
