r,l,t
-82830.798348,500,2454.452944
-99721.554289,500,2455.329584
-102128.268285,500,2457.006104
-92013.64948,500,2457.908632
-96651.896805,500,2459.556798
-96522.260285,500,2460.493214
-102322.843502,500,2462.034127
-93735.42552,500,2462.917774
-97185.180774,500,2464.551862
-98296.541104,500,2465.450123
-95962.735532,500,2467.064165
-95652.377272,500,2468.035021
-98783.302221,500,2469.660715
-87546.485591,500,2470.63472
-89600.352591,500,2472.285958
-103546.88263,500,2473.216961
-105376.111363,500,2474.770477
-93076.354901,500,2475.674134
-87480.998469,500,2477.224565
-95094.991778,500,2478.130383
-83290.522615,500,2479.658766
-100260.179089,500,2480.537737
-83574.449905,500,2482.164872
-94513.423323,500,2483.114775
-110641.76953,500,2484.691093
-88730.47922,500,2485.639265
-88529.166138,500,2487.241053
-102516.83319,500,2488.164429
-92757.779604,500,2489.758567
-81035.43187,500,2490.654301
-94243.909962,500,2492.214018
-93110.058472,500,2493.147236
-87218.747688,500,2494.755788
-95264.155335,500,2495.755629
-81536.315543,500,2497.290235
-84289.037979,500,2498.085151
-90129.336797,500,2499.636238
-94853.391365,500,2500.556056
-101560.881163,500,2502.123605
-91093.307932,500,2503.010965
-80122.714112,500,2504.664655
-99312.29568,500,2505.55335
-89281.4505,500,2506.476915
-86119.145566,500,2508.134609
-94853.933725,500,2509.078515
-88623.955435,500,2510.792893
-86935.119882,500,2511.637902
-92719.725557,500,2513.200807
-103951.114808,500,2514.199546
-83553.873698,500,2515.947391
-84551.580956,500,2516.897408
-86068.207857,500,2518.565342
-79710.565201,500,2519.486084
-92624.716184,500,2521.06206
-100083.472573,500,2521.985151
-93198.543015,500,2523.681085
-86331.207215,500,2524.617152
-96464.457518,500,2526.216044
-91037.57123,500,2527.086323
-95992.571772,500,2528.662734
-102585.021815,500,2529.614868
-84773.326709,500,2531.241891
-91048.101393,500,2532.144088
-81793.630467,500,2533.719853
-79394.53003,500,2534.664848
-90535.218671,500,2536.333804
-91828.224243,500,2537.247633
-79308.095679,500,2538.832676
-78965.244594,500,2539.703325
-77982.988161,500,2541.309975
-90273.366401,500,2542.261024
-91146.439657,500,2543.880564
-81080.551839,500,2544.822116
-92026.977105,500,2546.489878
-82632.215082,500,2547.447925
-84319.748604,500,2549.012408
-87459.151159,500,2549.865032
-88899.743237,500,2551.434629
-89117.58618,500,2552.409863
-99852.631517,500,2554.106519
-90832.745212,500,2555.010971
-79124.108819,500,2556.629973
-90901.664895,500,2557.516243
-76880.866103,500,2559.051488
-100334.686858,500,2559.886343
-92030.080352,500,2560.750065
-91882.000892,500,2562.251702
-75366.789151,500,2563.065055
-85794.216942,500,2564.590416
-85497.660066,500,2565.418396
-80942.074091,500,2567.037464
-91288.400802,500,2567.879931
-89516.932175,500,2569.388147
-85923.352385,500,2570.230028
-82784.076085,500,2571.771837
-87948.406453,500,2572.619121
-96973.304048,500,2574.123272
-94324.934976,500,2574.982755
-95980.187945,500,2576.568142
-78290.257045,500,2577.396841
