episode,q_loss
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,28856.55859375
105,28856.55859375
106,28856.55859375
107,28856.55859375
108,28181.61328125
109,28181.61328125
110,28181.61328125
111,28181.61328125
112,25469.033203125
113,25469.033203125
114,25469.033203125
115,25469.033203125
116,29012.61328125
117,29012.61328125
118,29012.61328125
119,29012.61328125
120,27511.68359375
121,27511.68359375
122,27511.68359375
123,27511.68359375
124,29856.0546875
125,29856.0546875
126,29856.0546875
127,29856.0546875
128,31232.384765625
129,31232.384765625
130,31232.384765625
131,31232.384765625
132,30253.146484375
133,30253.146484375
134,30253.146484375
135,30253.146484375
136,25306.6484375
137,25306.6484375
138,25306.6484375
139,25306.6484375
140,27179.525390625
141,27179.525390625
142,27179.525390625
143,27179.525390625
144,26829.77734375
145,26829.77734375
146,26829.77734375
147,26829.77734375
148,27420.01953125
149,27420.01953125
150,27420.01953125
151,27420.01953125
152,28772.931640625
153,28772.931640625
154,28772.931640625
155,28772.931640625
156,25153.740234375
157,25153.740234375
158,25153.740234375
159,25153.740234375
160,27795.52734375
161,27795.52734375
162,27795.52734375
163,27795.52734375
164,28771.89453125
165,28771.89453125
166,28771.89453125
167,28771.89453125
168,26501.498046875
169,26501.498046875
170,26501.498046875
171,26501.498046875
172,29543.154296875
173,29543.154296875
174,29543.154296875
175,29543.154296875
176,26774.345703125
177,26774.345703125
178,26774.345703125
179,26774.345703125
180,28792.04296875
181,28792.04296875
182,28792.04296875
183,28792.04296875
184,23962.03515625
185,23962.03515625
186,23962.03515625
187,23962.03515625
188,26127.75
189,26127.75
190,26127.75
191,26127.75
192,26784.060546875
193,26784.060546875
194,26784.060546875
195,26784.060546875
196,29052.87890625
197,29052.87890625
198,29052.87890625
199,29052.87890625
200,28143.5
201,28143.5
202,28143.5
203,28143.5
204,27057.0234375
205,27057.0234375
206,27057.0234375
207,27057.0234375
208,25225.458984375
209,25225.458984375
210,25225.458984375
211,25225.458984375
212,26132.8203125
213,26132.8203125
214,26132.8203125
215,26132.8203125
216,27519.1796875
217,27519.1796875
218,27519.1796875
219,27519.1796875
220,28624.9453125
221,28624.9453125
222,28624.9453125
223,28624.9453125
224,25790.53125
225,25790.53125
226,25790.53125
227,25790.53125
228,25965.83203125
229,25965.83203125
