r,l,t
6490.021598,30,120.064365
6318.536066,30,120.15319
458.435815,30,120.242905
7224.797491,30,120.339495
2630.829873,30,120.429052
5876.118385,30,120.517286
6135.846795,30,120.604343
-114.353748,30,120.688714
545.16841,30,120.768092
5501.234499,30,120.848318
6592.872333,30,120.934049
-3418.43628,30,121.032518
3861.218241,30,121.118354
-2135.941481,30,121.188553
-11900.012688,30,121.265933
-10011.765852,30,121.338571
3297.702741,30,121.419093
5427.666349,30,121.490728
4099.225657,30,121.567404
2694.222572,30,121.637237
7253.171012,30,121.716222
3805.693141,30,121.797897
2645.332069,30,121.889715
5637.34041,30,121.980959
2412.504372,30,122.071641
5128.898729,30,122.159613
5040.859432,30,122.249649
-3426.739317,30,122.32938
6689.794254,30,122.417922
4016.133072,30,122.502521
7029.172499,30,122.622169
-10404.961639,30,122.717553
6292.437307,30,122.811224
7032.559449,30,122.917609
-10328.157267,30,123.029533
3614.469615,30,123.150016
2674.598278,30,123.258319
4460.234632,30,123.367359
-2560.821075,30,123.47232
-1241.093592,30,123.593945
-393.042178,30,123.714123
2704.293603,30,123.822037
4306.184484,30,123.947682
3367.43623,30,124.045608
6475.888882,30,124.155633
-4389.261692,30,124.251833
7264.57254,30,124.350659
5901.323521,30,124.437522
4503.978221,30,124.522854
4619.332278,30,124.596413
6204.389079,30,124.673915
4528.628926,30,124.755968
1203.984007,30,124.835455
3206.177064,30,124.91637
7976.097558,30,124.996897
-59.290087,30,125.067599
127.135274,30,125.14542
-918.567644,30,125.217018
-4623.096109,30,125.301898
3556.428777,30,125.377603
3995.366711,30,125.456411
6403.324742,30,125.53023
4574.230188,30,125.61693
3112.552919,30,125.706268
6048.758274,30,125.79799
-7606.653424,30,125.879689
7566.5594,30,125.990172
4401.135786,30,126.097593
3240.937792,30,126.190041
1923.818069,30,126.278147
2362.208659,30,126.371044
6570.10367,30,126.454415
6551.288427,30,126.554448
4512.88935,30,126.668401
5402.019358,30,126.835118
4327.399517,30,126.966129
5614.666026,30,127.056026
1450.889605,30,127.137161
6121.486892,30,127.234216
7930.841659,30,127.325825
-4366.405723,30,127.406366
5980.905898,30,127.482214
6595.034717,30,127.558589
6385.865132,30,127.629309
5122.734896,30,127.708057
7632.442996,30,127.780712
5150.276145,30,127.859225
7243.975101,30,127.942652
7442.981923,30,128.028226
1206.725137,30,128.107143
-4790.042104,30,128.185918
4660.740187,30,128.261953
7494.2262,30,128.347605
3081.690398,30,128.437378
4703.013403,30,128.521062
7868.381103,30,128.596632
-4418.064616,30,128.686209
3834.920339,30,128.762396
233.052665,30,128.838831
7159.90413,30,128.91268
