episode,q_loss
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,28430.59765625
105,28430.59765625
106,28430.59765625
107,28430.59765625
108,28403.720703125
109,28403.720703125
110,28403.720703125
111,28403.720703125
112,25302.689453125
113,25302.689453125
114,25302.689453125
115,25302.689453125
116,28221.697265625
117,28221.697265625
118,28221.697265625
119,28221.697265625
120,25375.93359375
121,25375.93359375
122,25375.93359375
123,25375.93359375
124,26721.94140625
125,26721.94140625
126,26721.94140625
127,26721.94140625
128,26408.99609375
129,26408.99609375
130,26408.99609375
131,26408.99609375
132,24758.48046875
133,24758.48046875
134,24758.48046875
135,24758.48046875
136,20606.009765625
137,20606.009765625
138,20606.009765625
139,20606.009765625
140,20505.1640625
141,20505.1640625
142,20505.1640625
143,20505.1640625
144,19477.6484375
145,19477.6484375
146,19477.6484375
147,19477.6484375
148,20550.533203125
149,20550.533203125
150,20550.533203125
151,20550.533203125
152,20000.986328125
153,20000.986328125
154,20000.986328125
155,20000.986328125
156,19919.9296875
157,19919.9296875
158,19919.9296875
159,19919.9296875
160,17938.0
161,17938.0
162,17938.0
163,17938.0
164,19865.396484375
165,19865.396484375
166,19865.396484375
167,19865.396484375
168,17813.29296875
169,17813.29296875
170,17813.29296875
171,17813.29296875
172,19712.51171875
173,19712.51171875
174,19712.51171875
175,19712.51171875
176,16911.962890625
177,16911.962890625
178,16911.962890625
179,16911.962890625
180,16526.66796875
181,16526.66796875
182,16526.66796875
183,16526.66796875
184,14907.42578125
185,14907.42578125
186,14907.42578125
187,14907.42578125
188,14931.390625
189,14931.390625
190,14931.390625
191,14931.390625
192,16719.669921875
193,16719.669921875
194,16719.669921875
195,16719.669921875
196,15362.408203125
197,15362.408203125
198,15362.408203125
199,15362.408203125
200,14530.966796875
201,14530.966796875
202,14530.966796875
203,14530.966796875
204,14929.2578125
205,14929.2578125
206,14929.2578125
207,14929.2578125
208,12845.87109375
209,12845.87109375
210,12845.87109375
211,12845.87109375
212,12960.0849609375
213,12960.0849609375
214,12960.0849609375
215,12960.0849609375
216,13662.548828125
217,13662.548828125
218,13662.548828125
219,13662.548828125
220,10706.888671875
221,10706.888671875
222,10706.888671875
223,10706.888671875
224,8538.3466796875
225,8538.3466796875
226,8538.3466796875
227,8538.3466796875
228,8752.052734375
