episode,policy_loss,entropy
0,,
1,,
2,,
3,,
4,,
5,4658.6416015625,
6,4658.6416015625,
7,4658.6416015625,
8,4658.6416015625,
9,4658.6416015625,
10,-287.13037109375,
11,-287.13037109375,
12,-287.13037109375,
13,-287.13037109375,
14,-287.13037109375,
15,707.1531982421875,
16,707.1531982421875,
17,707.1531982421875,
18,707.1531982421875,
19,707.1531982421875,
20,505.5205993652344,
21,505.5205993652344,
22,505.5205993652344,
23,505.5205993652344,
24,505.5205993652344,
25,1513.4869384765625,
26,1513.4869384765625,
27,1513.4869384765625,
28,1513.4869384765625,
29,1513.4869384765625,
30,242.1858367919922,
31,242.1858367919922,
32,242.1858367919922,
33,242.1858367919922,
34,242.1858367919922,
35,4894.318359375,
36,4894.318359375,
37,4894.318359375,
38,4894.318359375,
39,4894.318359375,
40,2394.029541015625,
41,2394.029541015625,
42,2394.029541015625,
43,2394.029541015625,
44,2394.029541015625,
45,1624.981201171875,
46,1624.981201171875,
47,1624.981201171875,
48,1624.981201171875,
49,1624.981201171875,
50,2185.71826171875,
51,2185.71826171875,
52,2185.71826171875,
53,2185.71826171875,
54,2185.71826171875,
55,357.0118408203125,
56,357.0118408203125,
57,357.0118408203125,
58,357.0118408203125,
59,357.0118408203125,
60,1669.8843994140625,
61,1669.8843994140625,
62,1669.8843994140625,
63,1669.8843994140625,
64,1669.8843994140625,
65,390.2785339355469,
66,390.2785339355469,
67,390.2785339355469,
68,390.2785339355469,
69,390.2785339355469,
70,1747.9501953125,
71,1747.9501953125,
72,1747.9501953125,
73,1747.9501953125,
74,1747.9501953125,
75,3117.453369140625,
76,3117.453369140625,
77,3117.453369140625,
78,3117.453369140625,
79,3117.453369140625,
80,62.76029586791992,
81,62.76029586791992,
82,62.76029586791992,
83,62.76029586791992,
84,62.76029586791992,
85,2308.32763671875,
86,2308.32763671875,
87,2308.32763671875,
88,2308.32763671875,
89,2308.32763671875,
90,1318.0587158203125,
91,1318.0587158203125,
92,1318.0587158203125,
93,1318.0587158203125,
94,1318.0587158203125,
95,1607.254638671875,
96,1607.254638671875,
97,1607.254638671875,
98,1607.254638671875,
99,1607.254638671875,
100,4555.8232421875,
101,4555.8232421875,
102,4555.8232421875,
103,4555.8232421875,
104,4555.8232421875,
105,1259.697509765625,
106,1259.697509765625,
107,1259.697509765625,
108,1259.697509765625,
109,1259.697509765625,
110,1191.7969970703125,
111,1191.7969970703125,
112,1191.7969970703125,
113,1191.7969970703125,
114,1191.7969970703125,
115,91.34700012207031,
116,91.34700012207031,
117,91.34700012207031,
118,91.34700012207031,
119,91.34700012207031,
120,650.7359619140625,
121,650.7359619140625,
122,650.7359619140625,
123,650.7359619140625,
124,650.7359619140625,
125,5247.9404296875,
126,5247.9404296875,
127,5247.9404296875,
128,5247.9404296875,
129,5247.9404296875,
130,4026.29931640625,
