r,l,t
2371.382549,30,242.569698
1867.149285,30,242.636324
-1635.695619,30,242.709337
-4570.637626,30,242.780537
-25.996954,30,242.86147
-3545.28136,30,242.951088
-798.703806,30,243.039764
-173.760305,30,243.112097
-68.269731,30,243.182082
1958.663232,30,243.251079
0.0,30,243.31983
-1405.577384,30,243.385769
2382.09716,30,243.460492
-1232.435043,30,243.533655
-585.292044,30,243.599531
-4167.701421,30,243.667207
5040.831582,30,243.741475
1068.732428,30,243.813
5408.707116,30,243.885623
3144.379046,30,243.960554
3562.083747,30,244.034303
5735.230957,30,244.104949
4374.30439,30,244.174289
1176.340914,30,244.237079
2619.456693,30,244.306453
1882.074835,30,244.380774
-13645.524921,30,244.461585
-14206.692057,30,244.53768
2256.598649,30,244.609032
-2481.351156,30,244.677396
-6070.397108,30,244.751688
-9646.937056,30,244.830787
-9701.345347,30,244.900893
-397.00314,30,244.980898
2136.036823,30,245.062773
898.298081,30,245.134265
940.032841,30,245.210168
-1102.542474,30,245.279314
4532.453628,30,245.35532
3330.136006,30,245.425689
2184.682544,30,245.506965
-4623.096109,30,245.58727
2438.401695,30,245.660091
-2101.44372,30,245.730452
5049.173684,30,245.796939
-9.0,30,245.868099
2277.439533,30,245.950427
2690.923651,30,246.01726
2706.036026,30,246.092092
-1177.350467,30,246.16815
7037.948403,30,246.244174
679.941876,30,246.408461
3194.101668,30,246.485276
2161.249905,30,246.578418
6561.299409,30,246.658995
154.844539,30,246.733902
2647.399273,30,246.810434
1940.747852,30,246.883519
3069.653946,30,246.966954
-6523.020325,30,247.050735
-11584.567992,30,247.13517
-13546.239414,30,247.216766
-901.427697,30,247.299302
-4849.526814,30,247.374689
-2218.207637,30,247.454184
-5139.034986,30,247.536165
351.907762,30,247.622865
5677.862374,30,247.70522
4260.026761,30,247.790796
1706.931173,30,247.866825
-171.0,30,247.947515
448.872259,30,248.02336
4224.016076,30,248.10631
2155.526264,30,248.182263
2514.370872,30,248.263167
26.262585,30,248.339628
-104.793297,30,248.418377
3246.534521,30,248.494188
-9.0,30,248.573098
222.646124,30,248.660363
3234.076531,30,248.73754
4096.750829,30,248.804416
-12481.771694,30,248.879086
-2530.528185,30,248.957072
-3615.17095,30,249.038701
177.285858,30,249.133004
-12.497262,30,249.215845
422.137558,30,249.287928
2907.411419,30,249.359921
-3897.998848,30,249.423508
2888.977447,30,249.50415
-1522.386352,30,249.584389
-4827.735363,30,249.658459
2956.501911,30,249.730776
-2333.383289,30,249.811844
-8596.745122,30,249.891397
-8415.268003,30,249.973533
737.0,30,250.037393
-656.810102,30,250.114828
717.437945,30,250.187173
