r,l,t
4890.623697,50,113.430097
3257.825649,50,113.550396
2481.204885,50,113.678478
408.737485,50,113.798761
-23201.322918,50,113.912698
-13049.744582,50,114.044698
4351.410368,50,114.157533
2114.056832,50,114.282593
4445.038669,50,114.416347
-16034.184444,50,114.542394
-15264.969503,50,114.673992
3101.158633,50,114.791235
587.872176,50,114.909435
-1899.571057,50,115.025874
4990.461141,50,115.138037
-10619.895947,50,115.253438
-9417.962016,50,115.365387
-2992.729893,50,115.476653
-15005.26559,50,115.589457
-9801.37274,50,115.703743
1173.009771,50,115.817263
1301.100474,50,115.926154
449.587171,50,116.050347
250.28898,50,116.163799
1745.667608,50,116.279733
6702.537809,50,116.394255
-3209.603555,50,116.516622
3638.746911,50,116.629508
110.032377,50,116.770205
2538.308984,50,116.903529
879.581202,50,117.029269
4899.239218,50,117.152273
3873.893039,50,117.284206
-26912.91146,50,117.417974
4832.125882,50,117.556037
198.834245,50,117.681351
5601.444793,50,117.813944
2186.289827,50,117.952701
-8536.258093,50,118.078177
1393.394066,50,118.19027
2409.157703,50,118.315342
5256.48463,50,118.444733
-5770.268343,50,118.572431
1123.574976,50,118.697278
-4674.755091,50,118.834964
-4041.703168,50,118.965607
3959.185919,50,119.107525
4704.990282,50,119.245886
-7032.764915,50,119.391072
1164.40148,50,119.523973
-541.46964,50,119.64984
-4782.402943,50,119.775982
1542.178791,50,119.907878
344.851904,50,120.048399
6416.204719,50,120.190993
5353.398583,50,120.327193
-3006.404761,50,120.456742
-25317.819305,50,120.58021
6737.058545,50,120.709992
6778.826317,50,120.850436
-8685.146942,50,120.9862
-4207.27913,50,121.105912
5125.567637,50,121.226415
5574.910423,50,121.347324
734.650023,50,121.489263
2622.966326,50,121.614136
-5557.148901,50,121.753097
-17499.812005,50,121.882457
-8371.769881,50,122.037013
-2658.904186,50,122.174466
4078.55066,50,122.309692
5373.782729,50,122.436096
717.036589,50,122.577749
-200.579688,50,122.717242
4127.731039,50,122.83259
3122.390117,50,122.960596
3334.108557,50,123.095135
-1185.247795,50,123.215227
419.593191,50,123.344367
-12237.175167,50,123.485124
4894.20183,50,123.621141
26.125848,50,123.752975
-853.793974,50,123.873564
-49.207347,50,124.012919
-19317.170238,50,124.152709
6189.822817,50,124.283373
-6147.419712,50,124.403718
3725.040815,50,124.527325
1380.742327,50,124.656157
1020.624093,50,124.774562
2891.586464,50,124.917161
2371.522069,50,125.063292
2524.959761,50,125.186841
-7519.779874,50,125.313645
-2232.4762,50,125.445374
3759.521566,50,125.563532
2195.955138,50,125.682318
418.350375,50,125.797094
4201.486512,50,125.916318
3352.418671,50,126.036661
