Time Step,Coverage_Gauteng,Coverage_KwaZulu-Natal,Coverage_Western Cape,Coverage_Eastern Cape,Coverage_Limpopo,Coverage_Mpumalanga,Coverage_North West,Coverage_Free State,Coverage_Northern Cape,Incidence_Gauteng,Incidence_KwaZulu-Natal,Incidence_Western Cape,Incidence_Eastern Cape,Incidence_Limpopo,Incidence_Mpumalanga,Incidence_North West,Incidence_Free State,Incidence_Northern Cape
2,0.12635,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007989893,0.01,0.005,0.007,0.006,0.008,0.006,0.007,0.004
3,0.12635,0.18075001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007989893,0.009991924,0.005,0.007,0.006,0.008,0.006,0.007,0.004
4,0.12635,0.18075001,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.007989893,0.009991924,0.0049886,0.007,0.006,0.008,0.006,0.007,0.004
5,0.12635,0.18075001,0.228,0.114,0.0,0.0,0.0,0.0,0.0,0.007989893,0.009991924,0.0049886,0.00699202,0.006,0.008,0.006,0.007,0.004
6,0.12635,0.18075001,0.228,0.114,0.10687499,0.0,0.0,0.0,0.0,0.007989893,0.009991924,0.0049886,0.00699202,0.0059935874,0.008,0.006,0.007,0.004
7,0.12635,0.18075001,0.228,0.114,0.10687499,0.20764287,0.0,0.0,0.0,0.007989893,0.009991924,0.0049886,0.00699202,0.0059935874,0.007983388,0.006,0.007,0.004
8,0.12635,0.18075001,0.228,0.114,0.10687499,0.20764287,0.19,0.0,0.0,0.007989893,0.009991924,0.0049886,0.00699202,0.0059935874,0.007983388,0.0059885997,0.007,0.004
9,0.12635,0.18075001,0.228,0.114,0.10687499,0.20764287,0.19,0.29070002,0.0,0.007989893,0.009991924,0.0049886,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.004
10,0.12635,0.18075001,0.228,0.114,0.10687499,0.20764287,0.19,0.29070002,0.4655,0.007989893,0.009991924,0.0049886,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.0039813803
11,0.12635,0.23458335,0.228,0.114,0.10687499,0.20764287,0.19,0.29070002,0.4655,0.007989893,0.009986545,0.0049886,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.0039813803
12,0.12635,0.23458335,0.2874,0.114,0.10687499,0.20764287,0.19,0.29070002,0.4655,0.007989893,0.009986545,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.0039813803
13,0.12635,0.23458335,0.2874,0.114,0.10687499,0.20764287,0.19,0.29070002,0.77583337,0.007989893,0.009986545,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.003969025
14,0.1592675,0.23458335,0.2874,0.114,0.10687499,0.20764287,0.19,0.29070002,0.77583337,0.007987263,0.009986545,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.003969025
15,0.1592675,0.23458335,0.2874,0.114,0.10687499,0.20764287,0.19,0.29070002,0.77583337,0.007987263,0.009986545,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069796513,0.003969025
16,0.1592675,0.23458335,0.2874,0.114,0.10687499,0.20764287,0.19,0.58140004,0.77583337,0.007987263,0.009986545,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069593615,0.003969025
17,0.1592675,0.23458335,0.2874,0.114,0.10687499,0.20764287,0.19,0.58140004,0.77583337,0.007987263,0.009986545,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069593615,0.003969025
18,0.1592675,0.24159585,0.2874,0.114,0.10687499,0.20764287,0.19,0.58140004,0.77583337,0.007987263,0.009985845,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069593615,0.003969025
19,0.1592675,0.25505418,0.2874,0.114,0.10687499,0.20764287,0.19,0.58140004,0.77583337,0.007987263,0.009984501,0.0049856366,0.00699202,0.0059935874,0.007983388,0.0059885997,0.0069593615,0.003969025
20,0.1592675,0.25505418,0.2874,0.114,0.10687499,0.20764287,0.31666666,0.58140004,0.77583337,0.007987263,0.009984501,0.0049856366,0.00699202,0.0059935874,0.007983388,0.005981014,0.0069593615,0.003969025
21,0.1592675,0.25505418,0.2874,0.114,0.10687499,0.20764287,0.31666666,0.65713507,0.77583337,0.007987263,0.009984501,0.0049856366,0.00699202,0.0059935874,0.007983388,0.005981014,0.006954091,0.003969025
22,0.1592675,0.26907918,0.2874,0.114,0.10687499,0.20764287,0.31666666,0.65713507,0.77583337,0.007987263,0.0099831,0.0049856366,0.00699202,0.0059935874,0.007983388,0.005981014,0.006954091,0.003969025
23,0.1592675,0.26907918,0.2874,0.114,0.10687499,0.34607142,0.31666666,0.65713507,0.77583337,0.007987263,0.0099831,0.0049856366,0.00699202,0.0059935874,0.007972337,0.005981014,0.006954091,0.003969025
24,0.1592675,0.26907918,0.3634,0.114,0.10687499,0.34607142,0.31666666,0.65713507,0.77583337,0.007987263,0.0099831,0.0049818475,0.00699202,0.0059935874,0.007972337,0.005981014,0.006954091,0.003969025
25,0.1592675,0.26907918,0.3634,0.114,0.10687499,0.34607142,0.31666666,0.65713507,0.77583337,0.007987263,0.0099831,0.0049818475,0.00699202,0.0059935874,0.007972337,0.005981014,0.006954091,0.003969025
